"",,DATE
Alabama *,16,10/01/97
Alaska,8,01/01/04
Arizona *,18,07/01/00
Arkansas *,21.7,09/01/01
California *,18,01/01/94
Colorado *,22,01/01/91
Connecticut *,25,01/01/04
Delaware *,23,01/01/95
District of Columbia,20,10/01/03
Florida *,14.3,01/01/04
Georgia,7.5,07/01/71
Hawaii *,16,08/01/95
Idaho *,25,01/01/96
Illinois *,19,01/01/90
Indiana *,18,01/01/03
Iowa *,20.3,07/01/03
"",20.5,07/01/04
Kansas *,24,07/01/03
Kentucky *,16.4,01/01/04
"",17.4,04/01/04
"",17.4,07/01/04
Louisiana *,20,01/01/90
Maine *,25,07/01/03
Maryland,24,05/01/93
Massachusetts,21,01/01/91
Michigan *,19,08/01/97
Minnesota *,20,06/01/88
Mississippi *,18.4,08/01/00
"",18.4,08/01/04
Missouri *,17,04/01/96
Montana *,28,07/01/01
Nebraska *,24.8,01/01/04
Nevada,24,07/01/95
New Hampshire *,18,01/01/98
New Jersey *,10.5,07/01/88
New Mexico *,18.88,10/01/01
New York *,22.65,01/01/04
North Carolina *,24.3,01/01/04
"",24.6,07/01/04
North Dakota *,21,07/01/99
Ohio *,24,07/01/03
"",26,07/01/04
Oklahoma *,16,10/01/96
Oregon *,24,01/01/93
Pennsylvania *,26.2,01/01/04
Rhode Island *,30,01/01/04
South Carolina,16,07/01/87
South Dakota *,22,04/01/99
Tennessee *,20,07/01/89
Texas *,20,10/01/91
Utah *,24,07/01/97
Vermont *,20,07/01/99
Virginia *,17.5,07/01/92
Washington *,28,07/01/03
West Virginia *,25,01/01/04
Wisconsin *,28,04/01/03
"",29,04/01/04
Wyoming *,14,07/01/02
