"",,DATE
Alabama *,18,06/01/92
Alaska,8,07/01/61
Arizona *,18,07/01/90
Arkansas *,21.7,09/01/01
California *,18,01/01/94
Colorado *,22,01/01/91
Connecticut *,25,07/01/00
Delaware *,23,01/01/95
District of Columbia,20,10/01/94
Florida *,13.9,01/01/02
Georgia,7.5,07/01/71
Hawaii *,16,07/01/91
Idaho *,25,04/01/96
Illinois *,19,01/01/90
Indiana *,15,04/01/88
Iowa *,20,01/01/89
"",20.1,07/01/02
Kansas *,21,07/01/01
"",23,07/01/02
Kentucky *,16.4,07/15/94
Louisiana *,20,01/01/90
Maine *,22,08/01/99
Maryland,23.5,05/01/92
Massachusetts,21,01/01/91
Michigan *,19,08/01/97
Minnesota *,20,05/01/88
Mississippi *,18.4,07/01/93
Missouri *,17,04/01/96
Montana *,27,07/01/94
Nebraska *,24.5,07/01/01
Nevada,24.75,01/01/97
New Hampshire *,19.5,07/01/95
New Jersey *,10.5,07/01/88
New Mexico *,18.5,10/01/00
New York *,22.6,01/01/02
North Carolina *,24.2,01/01/02
"",22.1,07/01/02
North Dakota *,21,07/01/99
Ohio *,22,07/01/93
Oklahoma *,16,10/01/96
Oregon *,24,01/01/00
Pennsylvania *,26.6,01/01/02
Rhode Island *,29,07/08/94
South Carolina,16,01/01/89
South Dakota *,22,04/01/99
Tennessee *,20,04/01/89
Texas *,20,10/01/91
Utah *,24.5,07/01/97
Vermont *,20,08/01/97
Virginia *,17.5,07/01/92
Washington *,23,04/01/91
West Virginia *,25.65,01/01/01
Wisconsin *,27.3,04/01/01
"",28,04/01/02
Wyoming *,14,07/01/98
