"",STATE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
Iowa,,"124,207,257","125,567,694","134,553,613","135,285,988","146,984,465","145,607,287","139,955,680","150,297,964","140,331,194","146,602,782","142,095,630","141,576,915","1,673,066,469"
Kansas,,"103,806,752","99,949,867","119,978,894","110,189,617","114,138,325","115,009,506","112,233,793","124,897,027","106,637,077","111,642,940","109,718,951","102,526,968","1,330,729,717"
Kentucky,,"169,223,765","164,908,652","189,942,039","188,635,199","194,616,326","190,030,423","191,445,952","199,256,889","180,465,572","188,541,776","185,286,520","186,371,145","2,228,724,258"
Louisiana,,"208,646,986","181,608,838","206,416,340","200,119,907","219,903,222","199,875,681","201,381,018","237,015,681","217,570,798","222,709,872","252,961,725","280,067,179","2,628,277,247"
Maine,,"53,730,668","55,248,507","55,375,375","53,445,268","62,257,007","63,164,495","69,280,261","72,780,132","59,611,098","60,840,838","56,291,857","56,817,389","718,842,895"
Maryland,,"217,647,235","203,466,532","232,349,399","228,150,994","232,052,739","232,354,438","231,483,108","257,551,884","225,484,825","237,579,058","234,318,705","240,518,592","2,772,957,509"
Massachusetts,,"223,393,100","208,884,456","236,223,587","226,056,502","243,026,754","238,064,591","246,720,564","251,454,783","235,511,899","245,549,980","230,073,858","241,702,954","2,826,663,028"
Michigan,,"385,657,973","373,569,416","403,740,261","395,405,801","424,444,305","426,670,743","431,162,152","412,938,127","399,000,167","453,823,498","382,864,863","393,918,296","4,883,195,602"
Minnesota,,"210,307,101","202,160,167","211,688,292","213,138,063","236,700,507","238,639,559","235,760,384","244,731,035","222,114,790","233,547,833","220,150,883","222,732,448","2,691,671,062"
Mississippi,,"126,790,802","129,223,809","139,746,844","145,922,969","141,801,848","147,563,965","134,537,055","154,658,097","148,061,052","132,483,846","131,276,402","145,935,936","1,678,002,625"
Missouri,,"248,913,244","240,487,470","274,587,082","263,112,611","280,398,919","275,304,753","282,612,968","282,725,820","269,733,397","275,489,604","263,953,872","266,162,033","3,223,481,773"
Montana,,"35,386,130","33,714,889","38,138,203","39,196,207","42,698,580","46,633,945","52,368,453","48,355,183","41,549,556","42,450,759","40,268,112","38,029,560","498,789,577"
Nebraska,,"62,534,313","61,531,246","67,009,749","67,493,690","72,204,345","75,834,822","72,148,392","73,871,490","75,833,446","70,829,979","69,028,768","70,656,891","838,977,131"
Nevada,,"98,469,115","89,858,233","97,194,287","97,002,487","97,029,554","98,576,322","103,340,671","103,952,894","97,947,642","97,706,003","93,683,461","98,316,149","1,173,076,818"
New Hampshire,,"58,294,742","52,890,796","58,442,858","55,202,909","60,342,944","60,581,098","65,479,458","67,297,475","59,513,307","63,151,947","57,347,552","60,303,397","718,848,483"
New Jersey,,"335,825,010","322,737,419","354,129,676","352,758,305","366,551,457","360,867,971","391,683,381","359,922,743","348,685,562","357,135,676","341,089,905","389,828,800","4,281,215,905"
New Mexico,,"61,155,517","102,187,719","81,119,717","79,985,457","81,925,415","61,617,871","84,117,527","72,047,041","68,267,855","119,696,714","81,735,183","82,200,072","976,056,088"
New York,,"454,825,476","515,866,530","450,683,284","435,925,848","509,946,362","468,515,223","485,639,895","528,798,565","490,088,964","446,219,735","475,819,062","522,223,367","5,784,552,311"
North Carolina,,"342,776,667","334,965,708","374,561,635","364,563,783","392,926,177","373,485,923","379,966,039","399,074,932","362,003,445","381,321,170","365,615,228","375,138,696","4,446,399,403"
North Dakota,,"23,815,918","28,161,461","27,478,537","24,200,155","30,581,626","31,605,479","33,228,381","33,187,068","29,300,960","33,182,064","31,433,970","29,141,930","355,317,549"
Ohio,,"404,648,587","389,941,285","429,366,625","425,515,038","452,766,257","445,649,993","447,467,208","473,228,327","428,760,634","449,015,946","423,437,635","436,235,700","5,206,033,235"
Oklahoma,,"145,614,898","160,836,377","169,541,672","181,661,385","172,395,052","144,032,586","196,276,430","144,809,255","92,469,076","102,649,164","156,508,863","153,515,272","1,820,310,030"
Oregon,,"92,308,945","145,295,495","129,659,635","131,323,958","124,300,017","143,997,082","143,776,428","145,024,779","133,858,394","128,595,024","131,603,887","128,002,148","1,577,745,792"
Pennsylvania,,"394,351,220","381,134,381","427,819,567","418,639,798","440,422,217","445,316,186","409,540,231","460,478,325","423,630,746","450,583,053","423,743,184","437,467,618","5,113,126,526"
Rhode Island,,"34,139,644","32,968,948","36,261,007","33,342,031","36,212,299","35,984,909","36,506,005","38,883,256","34,438,865","32,174,059","35,791,570","31,693,002","418,395,595"
South Carolina,,"193,715,119","158,478,911","251,072,025","212,013,249","178,038,506","88,886,539","321,676,650","96,078,869","419,600,404","198,312,961","151,003,887","289,938,411","2,558,815,531"
South Dakota,,"31,069,647","29,052,766","32,512,276","33,384,525","37,187,326","40,344,316","40,986,864","41,297,900","35,253,912","37,844,087","36,015,971","33,835,087","428,784,677"
Tennessee,,"241,081,446","215,034,916","255,174,001","272,940,403","266,826,883","273,632,814","254,212,328","273,413,737","263,075,988","245,686,726","277,703,790","290,024,339","3,128,807,371"
Texas,,"941,294,475","893,748,961","1,014,102,894","988,532,183","1,028,701,307","974,426,264","987,393,681","1,029,064,304","974,503,976","1,023,020,567","972,975,794","1,005,167,210","11,832,931,616"
Utah,,"82,891,615","79,089,826","88,603,526","87,676,586","90,262,189","92,613,821","95,089,282","96,409,744","82,739,842","92,321,838","86,112,284","91,170,780","1,064,981,333"
Vermont,,"27,450,357","26,106,607","28,138,481","25,557,812","29,054,183","30,067,688","32,200,042","33,633,279","28,431,617","29,892,012","26,593,124","31,110,818","348,236,020"
Virginia,,"307,467,936","306,014,644","333,484,668","339,787,630","329,898,111","340,220,681","354,171,950","365,331,960","327,596,891","334,080,099","333,272,180","344,329,749","4,015,656,499"
Washington,,"214,222,409","206,439,615","229,426,350","225,528,934","231,436,264","235,473,522","241,369,500","246,395,633","228,265,709","231,799,019","221,109,210","228,083,064","2,739,549,229"
West Virginia,,"61,271,488","64,139,480","55,490,729","83,740,046","71,874,682","73,109,401","73,215,314","53,618,282","91,437,900","72,323,928","50,125,219","90,799,491","841,145,960"
Wisconsin,,"188,914,851","180,341,219","232,842,084","203,739,054","197,655,554","208,720,977","227,838,494","229,607,786","210,874,188","222,971,393","204,604,633","219,883,724","2,527,993,957"
Wyoming,,"26,861,456","27,296,897","25,676,207","21,017,267","28,801,808","27,627,109","31,931,645","32,278,768","35,290,070","43,060,728","29,279,462","31,394,281","360,515,698"
U.S. Total,,"11,054,209,275","10,782,700,543","11,741,001,278","11,604,495,017","11,980,726,590","11,738,520,396","12,109,137,983","12,202,098,816","11,798,222,453","11,883,520,479","11,493,950,734","12,053,780,163","140,442,363,727"
Puerto Rico,,"87,888,629","103,216,393","84,230,621","95,458,481","77,887,293","84,995,408","92,705,618","94,141,906","92,958,658","102,874,928","86,947,501","106,055,380","1,109,360,816"
Grand Total,,"11,142,097,904","10,885,916,936","11,825,231,899","11,699,953,498","12,058,613,883","11,823,515,804","12,201,843,601","12,296,240,722","11,891,181,111","11,986,395,407","11,580,898,235","12,159,835,543","141,551,724,543"
