"",STATE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
Alabama,,"222,881,140","203,605,833","202,189,870","224,739,126","218,731,463","226,931,057","225,524,147","225,132,200","227,595,002","214,650,623","220,957,032","214,110,875","2,627,048,368"
Alaska,,"21,351,592","20,002,301","23,603,706","22,005,917","24,793,627","28,775,425","30,894,675","28,311,202","25,058,720","24,562,109","22,936,869","22,157,716","294,453,859"
Arizona,,"240,465,007","225,045,615","242,306,840","245,725,291","238,622,207","232,928,891","235,146,073","244,654,779","235,443,946","243,107,293","238,864,295","249,642,078","2,871,952,315"
Arkansas,,"112,461,264","108,505,033","122,469,969","119,189,426","123,206,743","127,920,611","125,761,660","126,773,551","117,935,557","121,809,375","121,503,116","121,876,686","1,449,412,991"
California,,"1,290,262,436","1,233,411,764","1,354,132,267","1,298,976,398","1,339,344,138","1,335,367,006","1,344,224,077","1,375,242,067","1,307,982,657","1,346,688,133","1,283,213,985","1,335,269,306","15,844,114,234"
Colorado,,"172,938,676","161,522,051","179,917,258","174,860,458","184,100,227","191,399,910","192,392,816","195,391,296","181,141,960","180,877,904","177,313,562","172,334,435","2,164,190,553"
Connecticut,,"125,170,014","117,559,945","130,966,679","127,527,640","133,483,223","132,235,582","133,172,528","139,481,248","127,541,680","135,643,453","128,865,427","136,069,937","1,567,717,356"
Delaware,,"35,082,190","33,729,104","43,347,514","38,025,659","38,750,370","37,343,113","39,896,637","39,651,753","38,880,228","40,828,098","36,513,274","37,317,449","459,365,389"
District of Columbia,,"7,272,974","10,899,657","9,138,338","11,975,194","12,732,565","12,137,056","11,555,443","12,376,634","11,678,515","11,918,938","12,255,200","12,724,743","136,665,257"
Florida,,"737,322,584","721,879,067","691,480,527","783,488,896","748,001,495","739,350,140","703,317,400","715,208,793","756,210,232","674,300,758","725,679,455","701,747,413","8,697,986,760"
Georgia,,"399,142,575","381,663,962","434,477,265","419,475,405","424,130,240","411,597,035","412,611,006","435,974,434","405,181,540","432,157,938","403,340,543","422,579,544","4,982,331,487"
Hawaii,,"52,095,555","39,699,094","54,591,299","39,931,685","53,754,661","45,946,076","47,638,866","47,542,275","39,215,057","47,608,669","41,279,683","48,733,629","558,036,549"
Idaho,,"51,882,961","55,631,510","48,197,944","45,859,191","50,792,671","53,742,990","53,114,287","59,213,650","64,824,154","61,993,683","55,082,244","57,683,258","658,018,543"
Illinois,,"403,978,964","407,143,589","445,464,640","428,530,307","444,678,438","438,976,969","435,779,875","433,698,190","405,118,608","453,855,978","434,211,045","460,648,303","5,192,084,906"
Indiana,,"249,189,479","239,492,281","266,185,743","263,992,765","279,240,990","273,760,552","279,911,309","289,077,710","266,473,779","278,680,849","267,039,804","274,065,380","3,227,110,641"
