"",STATE,JANUARY 2/,FEBRUARY 2/,MARCH 2/,APRIL 2/,MAY 2/,JUNE 2/,JULY 2/,AUGUST 2/,SEPTEMBER 2/,OCTOBER 2/,NOVEMBER 2/,DECEMBER 2/,TOTAL
Pennsylvania,,"402,126,781","365,751,451","400,364,605","416,030,297","432,501,998","417,233,938","434,016,952","437,547,059","410,190,020","445,286,844","411,854,547","438,511,040","5,011,415,532"
Rhode Island,,"33,402,241","29,870,287","33,714,515","33,141,576","34,513,330","33,754,075","37,122,492","36,037,883","33,831,025","33,948,509","32,430,428","36,480,469","408,246,830"
South Carolina,,"208,315,891","207,333,727","227,035,656","189,239,100","247,337,207","218,405,934","223,152,488","167,425,721","248,349,127","115,960,147","307,143,422","218,037,657","2,577,736,077"
South Dakota,,"31,795,228","31,295,610","31,255,900","31,927,444","35,418,051","36,546,649","43,323,252","40,223,911","34,593,099","36,351,222","28,416,664","40,990,345","422,137,375"
Tennessee,,"266,375,484","236,274,193","255,937,917","260,707,137","289,017,720","256,498,587","255,442,240","260,730,540","222,624,188","288,131,747","251,781,036","231,112,714","3,074,633,503"
Texas,,"969,702,511","955,203,801","1,027,483,134","993,639,077","1,028,456,149","975,670,767","986,460,142","1,007,608,577","940,918,156","1,034,883,382","972,447,475","1,034,462,930","11,926,936,101"
Utah,,"89,658,882","83,701,568","90,363,963","88,995,619","92,080,119","87,491,318","92,545,849","92,227,661","84,636,306","89,983,444","80,489,049","91,603,542","1,063,777,320"
Vermont,,"27,945,766","26,356,610","26,358,670","24,834,799","28,463,836","27,667,708","31,074,419","30,908,442","27,508,334","27,613,745","24,755,905","28,010,470","331,498,704"
Virginia,,"321,926,260","303,612,450","333,194,966","340,975,376","286,788,755","373,108,883","340,355,639","339,830,289","332,427,782","332,180,635","312,393,089","338,650,251","3,955,444,375"
Washington,,"213,113,669","206,947,353","226,006,497","219,013,187","233,893,650","227,201,789","234,900,419","236,488,344","218,351,164","230,182,366","213,371,780","206,496,680","2,665,966,898"
West Virginia,,"63,625,762","60,263,799","65,649,497","32,852,924","100,449,429","66,084,674","38,536,093","101,742,666","64,006,802","29,055,208","104,880,129","39,750,967","766,897,950"
Wisconsin,,"193,541,938","192,318,046","195,262,400","247,476,585","173,238,868","206,455,637","230,195,374","221,071,040","207,584,615","213,840,213","196,288,719","234,296,502","2,511,569,937"
Wyoming,,"27,742,557","33,381,694","37,375,562","20,471,712","26,201,892","35,677,895","22,882,685","30,994,376","38,235,460","32,455,773","21,916,451","27,119,878","354,455,935"
US Total,,"11,131,969,357","10,798,541,250","11,411,671,624","11,396,998,544","11,686,555,782","11,574,249,826","11,773,668,191","11,638,889,161","10,979,055,223","11,312,094,398","11,438,842,469","11,474,401,253","136,616,937,078"
Puerto Rico,,"93,090,710","91,291,088","92,866,267","91,702,722","93,189,487","84,601,735","87,753,356","87,999,151","81,384,008","92,805,518","94,622,001","93,198,972","1,084,505,016"
Grand Total,,"11,225,060,067","10,889,832,338","11,504,537,891","11,488,701,266","11,779,745,269","11,658,851,561","11,861,421,547","11,726,888,312","11,060,439,231","11,404,899,916","11,533,464,470","11,567,600,225","137,701,442,094"
