"",STATE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
Alabama,,"206,162,969","201,666,568","225,135,817","217,745,660","228,525,483","223,334,796","228,264,193","228,503,572","218,690,906","221,710,532","208,306,057","223,109,993","2,631,156,546"
Alaska,,"22,230,175","19,494,156","23,518,421","23,211,879","27,238,585","31,034,356","30,292,105","29,959,362","26,273,523","22,490,536","22,320,106","22,373,720","300,436,924"
Arizona,,"229,798,669","223,060,184","252,527,024","237,370,757","241,880,233","232,308,824","234,189,933","245,373,204","224,358,771","231,444,632","235,326,481","240,322,907","2,827,961,619"
Arkansas,,"113,920,634","111,346,107","127,243,724","119,949,327","125,402,909","129,423,638","129,660,373","126,989,907","117,151,031","119,246,220","117,501,384","124,419,823","1,462,255,077"
California,,"1,269,597,124","1,189,396,424","1,370,668,814","1,319,687,286","1,375,408,011","1,353,191,273","1,379,979,011","1,398,160,603","1,291,708,930","1,331,696,515","1,288,035,178","1,386,015,120","15,953,544,289"
Colorado,,"171,399,374","162,937,519","182,963,909","172,521,402","189,795,869","191,550,550","202,826,741","197,960,186","176,378,969","175,249,643","168,994,486","178,734,487","2,171,313,135"
Connecticut,,"140,476,015","132,711,203","147,648,767","128,941,863","137,950,229","139,484,371","139,330,624","141,377,456","129,928,132","136,269,089","132,712,078","138,407,281","1,645,237,108"
Delaware,,"36,593,072","31,838,690","36,116,924","37,351,880","39,206,919","39,540,994","39,723,586","40,819,404","36,368,817","36,129,477","37,524,315","38,949,101","450,163,179"
District of Columbia,,"5,712,280","12,242,142","11,584,668","11,933,867","12,239,334","14,214,950","14,862,606","11,223,596","11,597,318","14,506,180","13,574,713","14,163,786","147,855,440"
Florida,,"738,257,997","723,708,503","696,563,067","790,098,395","742,102,099","742,423,843","724,152,411","726,664,834","736,495,258","660,481,588","705,226,762","705,892,301","8,692,067,058"
