STATE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER TOTAL
Ohio,"405,834,707","381,911,883","435,045,930","429,640,543","447,952,210","465,858,967","454,095,860","466,489,965","429,403,330","452,413,060","427,921,175","437,907,547  5,234,475,177"
Oklahoma,"134,539,078","148,433,012","160,371,608","160,182,241","144,999,804","169,270,167","166,573,567","134,896,038","147,963,007","164,668,571","158,090,983","140,331,209  1,830,319,285"
Oregon,"109,119,060","120,506,038","122,221,703","130,202,502","135,994,849","132,650,364","141,611,584","127,021,967","143,549,019","133,746,681","121,342,244","128,302,851  1,546,268,862"
Pennsylvania,"390,702,254","365,929,834","417,022,537","420,342,918","441,001,407","441,323,934","444,666,098","463,528,224","419,524,272","446,445,519","430,880,447","466,854,726  5,148,222,170"
Rhode Island,"31,784,826","28,984,579","35,249,277","33,506,249","33,623,746","34,979,577","36,117,191","37,169,453","32,593,385","35,046,698","32,573,116","37,881,768  409,509,865"
South Carolina,"177,299,858","168,992,288","193,571,729","192,169,194","197,569,062","194,400,645","202,287,847","205,997,078","183,371,902","197,251,644","188,698,387","188,248,222  2,289,857,856"
South Dakota,"30,641,760","29,354,208","33,810,840","35,041,369","36,546,296","40,222,059","43,604,019","44,813,091","35,794,120","38,883,953","36,284,494","34,778,658  439,774,867"
Tennessee,"241,126,506","223,737,748","228,119,484","251,818,549","225,413,049","272,172,393","261,504,817","237,823,541","240,245,572","258,919,495","224,309,860","269,984,210  2,935,175,224"
Texas,"871,380,747","839,667,003","910,357,707","901,152,646","943,952,674","926,765,002","954,575,320","934,426,069","903,252,327","918,558,621","893,994,007","939,159,725  10,937,241,848"
Utah,"86,110,802","72,837,199","81,901,142","75,916,242","87,697,358","74,116,623","91,491,522","95,371,279","76,801,816","88,943,815","81,388,549","84,636,502  997,212,849"
Vermont,"28,844,906","25,753,797","27,532,109","25,248,461","29,313,779","29,645,305","31,707,169","33,429,386","27,427,247","30,440,545","27,542,993","25,805,868  342,691,565"
Virginia,"369,004,042","272,848,375","287,750,742","310,717,782","334,791,176","330,019,987","332,704,828","346,916,144","303,433,409","336,273,129","319,293,722","318,302,673  3,862,056,009"
Washington,"208,983,110","192,851,622","226,603,364","223,407,290","235,551,805","233,744,060","202,917,116","296,171,145","216,518,080","231,018,035","216,862,810","225,977,616  2,710,606,053"
West Virginia,"41,067,194","86,336,863","62,992,663","71,138,347","81,782,200","78,617,978","67,094,358","55,931,014","97,757,790","54,699,305","62,007,223","80,808,718  840,233,653"
Wisconsin,"194,813,645","180,310,542","205,530,291","203,761,633","211,868,951","226,775,083","231,380,426","243,086,561","207,337,720","213,629,348","204,361,607","213,154,543  2,536,010,350"
Wyoming,"25,736,185","20,310,319","28,547,439","23,582,655","24,952,296","25,027,021","44,698,274","27,534,098","29,771,167","41,691,910","29,521,880","35,473,367  356,846,611"
U.S. Total,"10,422,163,085","10,207,383,938","10,916,822,020","11,134,202,595","11,536,242,265","11,705,648,601","11,691,144,739","11,894,233,458","10,978,446,452","11,281,514,556","11,092,993,095","11,360,131,413  134,220,926,217"
Puerto Rico,"119,238,551","108,800,475","90,555,732","82,627,691","79,755,912","114,614,655","100,781,034","81,576,729","92,480,734","104,843,561","94,640,520","83,258,615  1,153,174,209"
Grand Total,"10,541,401,636","10,316,184,413","11,007,377,752","11,216,830,286","11,615,998,177","11,820,263,256","11,791,925,773","11,975,810,187","11,070,927,186","11,386,358,117","11,187,633,615","11,443,390,028  135,374,100,426"
