"",STATE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
Massachusetts,,"225,514,185","200,822,353","235,905,160","232,605,333","254,458,963","237,637,292","252,392,274","253,537,132","228,395,454","255,553,111","230,037,327","244,433,277","2,851,291,861"
Michigan,,"399,528,475","369,163,759","402,937,701","407,295,314","445,672,169","438,221,071","466,275,455","474,995,326","417,279,035","510,081,457","422,108,944","417,934,877","5,171,493,583"
Minnesota,,"209,069,835","192,551,282","208,367,638","210,019,044","246,079,210","235,642,557","259,023,208","253,198,244","225,193,238","237,473,574","222,468,366","227,499,880","2,726,586,076"
Mississippi,,"124,130,361","122,873,572","139,711,622","139,711,622","145,824,076","130,902,916","152,276,914","146,227,802","120,843,250","132,355,784","131,385,884","145,639,676","1,631,883,479"
Missouri,,"256,977,843","238,297,330","249,058,297","262,455,450","278,464,460","277,391,517","292,806,038","294,661,931","246,618,904","277,037,488","250,309,426","241,860,287","3,165,938,971"
Montana,,"35,639,070","33,504,973","38,512,956","37,834,563","44,071,963","45,865,470","55,066,689","52,745,773","44,487,707","43,721,722","39,076,029","38,650,854","509,177,769"
Nebraska,,"67,769,122","62,745,602","70,308,291","71,327,526","78,566,279","78,612,856","82,738,767","81,846,097","73,301,146","76,278,916","71,105,216","74,518,071","889,117,889"
Nevada,,"79,388,127","70,020,342","85,199,838","79,949,728","83,551,075","86,506,916","90,566,191","93,530,159","84,440,430","88,667,234","78,364,062","87,885,917","1,008,070,019"
New Hampshire,,"55,412,748","50,876,760","54,720,662","53,687,707","71,974,271","59,130,394","66,034,816","66,696,134","57,892,615","61,882,603","56,788,994","60,294,754","715,392,458"
New Jersey,,"331,162,333","253,512,857","389,459,705","356,412,352","362,263,638","347,610,543","330,251,248","346,965,229","367,422,410","332,322,371","349,520,343","328,098,895","4,095,001,924"
New Mexico,,"56,631,881","76,248,039","61,333,506","110,306,813","74,167,171","96,929,091","82,952,783","75,286,071","85,777,752","48,623,053","114,190,076","69,163,998","951,610,234"
New York,,"474,635,518","428,354,821","448,139,052","484,961,374","544,786,273","478,921,894","517,825,747","526,858,417","469,189,979","476,694,417","472,358,914","485,470,816","5,808,197,222"
North Carolina,,"324,598,752","314,049,270","373,223,812","362,307,263","385,935,402","353,695,394","386,326,486","388,322,480","348,880,485","369,853,929","360,274,323","358,955,013","4,326,422,609"
North Dakota,,"25,899,209","25,287,139","28,102,741","27,925,708","31,355,947","32,865,845","37,434,255","35,790,394","31,248,876","30,000,877","30,798,577","30,089,438","366,799,006"
Ohio,,"417,692,929","389,402,305","421,472,189","436,285,836","463,179,584","453,411,166","475,484,558","480,884,979","428,261,811","460,753,524","434,393,067","436,644,688","5,297,866,636"
Oklahoma,,"56,198,981","152,521,254","171,666,292","145,042,383","181,655,717","178,355,887","151,403,295","149,029,852","158,053,166","147,878,764","167,772,637","136,758,024","1,796,336,252"
Oregon,,"101,974,268","128,715,870","129,699,484","117,760,602","139,942,463","138,840,150","148,948,261","143,584,375","138,046,100","131,056,560","128,185,278","125,540,139","1,572,293,550"
Pennsylvania,,"413,827,301","368,872,063","438,938,273","449,313,741","458,432,242","446,642,022","462,483,769","469,794,049","420,570,693","450,321,869","431,282,001","434,459,773","5,244,937,796"
Rhode Island,,"31,784,826","29,817,905","33,959,757","33,437,101","35,890,292","32,605,865","37,237,224","37,099,882","32,012,974","32,332,380","33,004,099","34,649,250","403,831,555"
South Carolina,,"176,198,017","174,861,700","199,478,397","198,891,388","208,942,754","196,491,534","212,257,972","209,389,248","186,400,133","198,459,278","190,443,892","195,126,260","2,346,940,573"
South Dakota,,"33,017,037","31,104,339","32,863,602","34,104,976","40,057,324","40,657,588","47,989,171","46,466,976","37,472,166","39,878,059","36,301,518","35,776,338","455,689,094"
Tennessee,,"248,976,429","205,244,229","225,280,656","265,089,328","291,822,272","259,604,320","277,548,169","266,291,867","290,378,886","236,260,028","276,396,495","246,683,813","3,089,576,492"
Texas,,"918,593,557","871,310,409","977,408,251","953,728,814","1,012,277,106","971,101,545","987,128,691","1,015,992,970","930,398,896","959,383,514","944,314,691","972,597,256","11,514,235,700"
Utah,,"79,844,996","83,502,131","85,423,876","87,960,350","88,601,062","88,803,556","92,987,969","96,495,228","82,568,976","88,702,595","81,866,236","85,463,488","1,042,220,463"
Vermont,,"28,655,720","26,085,345","26,412,944","26,343,296","29,391,980","28,602,572","33,165,728","33,214,869","28,028,752","29,237,098","26,910,549","30,080,052","346,128,905"
Virginia,,"304,345,944","287,814,670","322,256,880","357,130,022","310,705,254","333,931,413","342,314,349","346,564,266","311,910,861","328,969,033","314,821,311","327,540,891","3,888,304,894"
Washington,,"214,786,114","201,769,016","225,183,490","224,434,293","240,822,601","237,448,396","248,250,970","252,379,351","229,955,876","236,818,121","221,653,963","226,338,245","2,759,840,436"
West Virginia,,"63,944,061","54,916,820","84,387,779","35,048,475","73,809,327","75,437,840","73,968,506","76,890,266","67,515,788","58,992,485","77,419,216","78,128,316","820,458,879"
Wisconsin,,"186,701,126","186,301,548","204,871,620","201,994,689","234,486,200","226,264,911","247,494,779","224,078,568","201,407,687","238,515,528","207,689,563","224,716,300","2,584,522,519"
Wyoming,,"16,782,158","29,027,333","20,028,962","31,860,409","26,147,877","24,797,976","26,330,167","38,208,542","46,270,805","31,802,133","37,552,127","26,486,518","355,295,007"
U.S. Total,,"10,788,552,889","10,254,542,262","11,325,688,908","11,519,377,975","12,214,785,880","11,699,672,211","12,120,374,928","12,223,331,183","11,531,181,268","11,673,009,409","11,413,364,691","11,492,840,446","138,256,722,050"
Puerto Rico,,"102,385,781","88,219,580","106,570,249","104,905,274","85,021,628","100,991,408","101,853,573","104,969,942","109,360,503","83,556,022","109,533,683","79,636,811","1,177,004,454"
Grand Total,,"10,890,938,670","10,342,761,842","11,432,259,157","11,624,283,249","12,299,807,508","11,800,663,619","12,222,228,501","12,328,301,125","11,640,541,771","11,756,565,431","11,522,898,374","11,572,477,257","139,433,726,504"
