"",STATE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
Alabama,,"198,366,790","188,972,723","210,529,829","210,347,648","218,328,508","205,664,541","221,667,860","219,494,940","198,213,298","203,595,419","207,501,892","217,142,304","2,499,825,752"
Alaska,,"20,534,759","18,160,481","18,352,423","18,352,423","13,317,659","26,029,154","22,906,829","28,573,304","26,394,214","23,741,503","21,472,096","22,442,902","260,277,747"
Arizona,,"215,454,723","200,545,848","225,242,905","221,561,131","224,428,798","210,092,491","216,516,313","223,642,364","207,803,631","221,469,642","187,331,287","251,242,413","2,605,331,546"
Arkansas,,"115,613,575","108,028,448","120,941,421","121,755,471","129,797,760","121,360,398","135,868,895","131,908,827","117,806,701","122,510,051","119,325,204","122,776,674","1,467,693,425"
California,,"1,256,942,248","1,168,546,612","1,297,762,771","1,333,304,005","1,349,797,329","1,281,157,932","1,336,162,210","1,354,857,860","1,451,379,926","1,317,925,250","1,253,191,886","1,297,917,691","15,698,945,720"
Colorado,,"168,118,732","153,199,464","170,843,698","164,777,380","171,017,287","159,309,761","195,811,562","199,377,654","176,345,340","181,226,129","187,669,116","177,941,160","2,105,637,283"
Connecticut,,"135,398,335","131,121,102","146,788,133","135,201,601","258,928,986","143,840,613","153,679,238","147,085,468","135,435,825","152,143,493","140,926,388","148,220,204","1,828,769,386"
Delaware,,"32,160,541","35,258,287","31,381,663","35,902,468","60,474,722","13,800,414","39,891,899","39,920,394","33,077,691","27,283,715","43,671,816","33,970,551","426,794,161"
District of Columbia,,"11,809,641","11,642,495","12,518,397","12,734,616","13,607,309","12,656,671","21,144,689","23,988,977","12,401,077","13,417,364","13,337,312","13,379,279","172,637,827"
Florida,,"660,363,388","659,051,688","636,217,509","723,505,403","682,600,476","683,244,164","636,017,807","666,971,153","681,794,277","629,367,187","686,609,052","654,621,429","8,000,363,533"
Georgia,,"384,249,658","381,724,312","424,237,352","411,304,616","432,449,717","412,134,864","426,967,594","452,712,636","385,886,287","424,278,646","408,774,233","425,422,804","4,970,142,719"
Hawaii,,"32,516,392","47,173,594","38,034,264","25,635,720","45,416,950","30,559,080","43,708,895","40,018,114","31,473,780","27,134,996","42,238,929","43,774,268","447,684,982"
Idaho,,"47,474,677","53,154,800","51,731,171","46,212,628","55,168,776","53,168,063","56,724,054","61,350,168","63,540,935","61,050,912","56,930,014","61,233,078","667,739,276"
Illinois,,"406,327,340","368,541,940","430,291,683","442,253,151","447,978,684","449,715,050","430,787,068","483,218,623","442,464,610","443,233,201","435,236,952","432,346,637","5,212,394,939"
Indiana,,"254,526,628","238,884,745","262,002,538","266,636,945","287,712,011","284,727,730","297,365,921","300,376,654","267,478,456","289,546,521","278,483,629","278,824,900","3,306,566,678"
Iowa,,"121,919,469","109,967,848","126,147,323","134,620,239","145,466,462","139,055,308","148,628,571","147,739,063","130,117,085","141,235,641","134,088,232","137,823,715","1,616,808,956"
Kansas,,"112,836,055","105,302,540","113,574,386","125,054,415","122,930,359","124,063,808","123,420,474","123,356,424","112,104,135","118,287,221","121,511,466","124,695,685","1,427,136,968"
Kentucky,,"174,674,991","171,887,499","185,675,381","182,246,748","196,330,488","194,314,746","200,677,603","101,654,559","177,269,974","189,148,285","193,048,880","191,366,347","2,158,295,501"
Louisiana,,"185,466,938","184,829,709","195,415,572","187,052,019","193,021,264","242,902,213","212,717,009","206,169,287","218,270,232","191,466,133","172,044,762","170,705,955","2,360,061,093"
Maine,,"97,812,004","39,427,135","25,287,378","79,533,148","60,014,275","66,877,989","51,207,110","63,676,594","62,531,566","61,131,492","58,677,605","53,519,514","719,695,810"
Maryland,,"196,305,082","219,545,956","218,399,678","206,160,700","222,663,108","212,066,724","211,538,878","230,211,643","209,167,377","223,909,103","212,500,816","205,987,832","2,568,456,897"
