"",STATE,JANUARY 2/,FEBRUARY 2/,MARCH 2/,APRIL 2/,MAY 2/,JUNE 2/,JULY 2/,AUGUST 2/,SEPTEMBER 2/,OCTOBER 2/,NOVEMBER 2/,DECEMBER 2/,TOTAL
Alabama,,"221,556,670","217,624,703","203,097,862","228,978,805","221,028,020","229,418,396","224,414,903","226,793,563","232,656,349","209,675,825","226,184,620","212,795,109","2,654,224,825"
Alaska,,"24,804,753","20,374,353","24,378,693","22,940,167","26,187,751","30,741,526","29,732,677","29,976,166","26,139,655","24,283,342","21,544,041","23,151,069","304,254,193"
Arizona,,"249,783,105","227,856,747","262,743,993","233,044,100","239,267,374","231,127,360","240,843,472","245,942,479","240,184,370","250,186,776","232,625,181","236,277,189","2,889,882,146"
Arkansas,,"116,434,263","109,979,177","125,300,257","122,704,251","126,584,248","124,358,135","125,621,729","130,363,858","117,841,844","125,390,595","110,734,153","126,309,215","1,461,621,725"
California,,"1,298,005,123","1,202,285,136","1,356,411,115","1,289,099,402","1,350,251,459","1,314,070,919","1,331,802,064","1,375,098,435","1,274,137,497","1,319,293,307","1,234,600,552","1,352,739,224","15,697,794,233"
Colorado,,"172,257,741","159,945,532","179,020,568","172,883,078","187,166,429","184,328,019","197,139,644","201,092,100","179,887,437","183,038,373","170,288,532","174,859,125","2,161,906,578"
Connecticut,,"128,269,211","117,634,460","130,531,148","133,328,446","135,319,880","133,327,393","132,101,739","135,731,104","127,550,368","134,732,807","127,566,031","131,267,035","1,567,359,622"
Delaware,,"37,535,748","33,319,211","37,178,147","36,601,962","39,589,133","40,811,240","41,597,256","44,480,332","39,805,330","38,948,877","37,270,413","38,443,785","465,581,434"
District of Columbia,,"12,167,722","12,236,262","9,556,220","10,218,062","12,969,056","12,101,363","11,442,166","11,093,034","11,069,915","11,362,763","10,921,772","10,698,799","135,837,134"
Florida,,"724,117,701","733,500,892","683,093,720","784,764,134","740,137,923","733,821,920","695,211,676","712,659,537","734,681,745","668,426,730","719,595,503","687,862,613","8,617,874,094"
Georgia,,"413,453,982","387,582,848","448,351,090","413,515,059","433,025,855","409,340,900","413,400,606","435,861,562","399,121,399","426,831,424","405,497,149","406,402,855","4,992,384,729"
Hawaii,,"34,292,895","61,293,246","44,916,102","49,195,443","49,847,175","50,150,785","44,853,697","34,147,470","35,885,474","47,754,669","33,796,972","33,085,716","519,219,644"
Idaho,,"55,101,368","53,607,703","50,280,525","47,984,394","54,438,649","51,997,128","56,232,995","57,975,256","60,919,109","68,278,972","58,158,610","61,904,751","676,879,460"
Illinois,,"430,504,124","412,661,548","408,462,091","454,381,000","426,895,737","424,260,400","450,957,202","442,291,465","404,899,065","434,178,524","402,707,514","427,150,910","5,119,349,580"
Indiana,,"259,077,461","236,224,251","267,500,155","264,079,889","280,832,989","277,389,502","282,447,053","288,260,929","266,105,845","278,190,240","262,536,757","260,913,640","3,223,558,711"
Iowa,,"131,345,352","125,195,409","132,698,628","137,351,330","147,053,939","143,562,237","144,558,367","146,782,913","135,294,613","139,975,974","144,341,819","131,318,149","1,659,478,730"
Kansas,,"105,157,982","98,329,301","121,682,885","109,370,380","115,717,525","113,544,928","116,747,666","115,687,938","109,407,415","115,736,236","110,461,596","108,839,499","1,340,683,351"
Kentucky,,"177,583,834","166,320,512","190,862,924","185,747,873","199,697,816","188,016,349","198,548,001","197,991,014","178,753,876","193,449,100","163,244,752","191,440,534","2,231,656,585"
Louisiana,,"191,971,559","210,077,298","181,363,895","186,642,549","184,792,227","210,819,983","205,007,965","221,783,116","198,316,140","207,075,493","202,076,852","201,357,321","2,401,284,398"
Maine,,"56,782,654","54,254,589","56,149,087","56,589,291","53,144,364","60,527,355","59,437,826","66,864,906","73,016,313","58,517,156","61,770,569","53,872,115","710,926,225"
Maryland,,"234,734,722","195,546,075","243,070,404","249,471,636","250,161,822","233,080,362","249,447,177","247,848,982","229,671,810","238,470,478","232,570,467","232,490,258","2,836,564,193"
Massachusetts,,"264,129,550","212,686,904","238,228,481","228,658,071","261,280,807","246,632,150","251,261,463","251,997,339","235,439,761","247,466,748","232,389,040","242,566,524","2,912,736,838"
Michigan,,"383,030,665","368,661,902","395,926,991","381,480,568","411,571,363","421,263,590","408,028,565","398,305,991","432,722,870","418,671,834","386,584,917","377,236,210","4,783,485,466"
Minnesota,,"219,379,409","204,157,517","209,658,699","212,961,453","234,361,770","239,966,680","241,483,365","241,318,647","222,204,762","232,252,251","220,588,956","214,347,850","2,692,681,359"
Mississippi,,"137,821,748","130,205,946","149,431,148","137,062,598","147,016,002","138,498,874","140,105,998","152,768,210","119,937,432","166,264,603","128,166,502","144,184,306","1,691,463,367"
Missouri,,"253,671,152","215,114,556","295,224,038","268,981,443","281,760,510","282,799,130","278,500,913","297,632,202","264,966,204","280,658,817","263,517,618","261,559,555","3,244,386,138"
Montana,,"36,296,552","34,586,464","39,062,769","38,132,650","42,641,701","45,936,829","52,509,305","50,451,918","42,148,281","43,364,493","39,249,875","36,801,730","501,182,567"
Nebraska,,"66,823,262","60,336,964","68,951,753","68,933,823","71,976,164","74,879,219","75,578,187","75,961,042","70,234,174","72,682,389","68,228,767","67,948,546","842,534,290"
Nevada,,"95,451,422","87,737,940","99,912,994","97,713,693","99,502,233","100,200,652","101,885,547","107,424,855","98,373,186","98,774,895","94,513,237","95,921,039","1,177,411,693"
New Hampshire,,"57,795,457","56,209,914","59,226,158","56,029,638","63,231,584","62,685,702","62,595,001","67,326,912","59,728,441","63,126,554","59,087,114","62,475,035","729,517,510"
New Jersey,,"348,540,543","320,437,143","351,974,943","361,707,114","381,918,400","375,576,619","392,154,314","366,604,438","378,322,514","364,139,962","343,750,419","388,737,781","4,373,864,190"
New Mexico,,"84,981,710","72,098,307","84,982,000","80,359,196","81,268,587","75,203,829","77,030,364","81,627,557","76,521,846","80,210,147","76,565,670","85,539,182","956,388,395"
New York,,"461,336,256","429,809,854","477,179,486","425,703,967","482,195,334","484,667,297","501,702,283","489,097,222","479,841,180","488,453,521","509,390,479","510,073,702","5,739,450,581"
North Carolina,,"359,662,812","341,920,346","380,156,525","379,268,340","393,029,195","354,723,702","421,393,648","398,760,422","363,327,075","379,254,683","363,599,457","360,279,052","4,495,375,257"
North Dakota,,"25,088,334","26,714,922","24,259,356","32,814,180","31,224,477","31,385,487","33,646,466","34,217,399","28,674,275","33,274,218","31,072,076","28,788,904","361,160,094"
Ohio,,"419,795,577","380,957,293","430,145,444","420,593,035","452,991,021","445,277,509","452,415,841","460,844,690","427,064,416","443,555,434","423,672,679","423,546,350","5,180,859,289"
Oklahoma,,"140,503,358","149,594,114","147,287,214","157,555,901","170,472,567","137,561,478","177,532,874","119,351,094","153,534,733","183,131,540","151,563,564","182,857,125","1,870,945,562"
Oregon,,"97,581,006","140,277,547","121,295,912","133,071,045","132,382,704","133,843,096","138,072,747","149,279,076","135,643,236","132,675,040","125,628,298","128,134,850","1,567,884,557"
Pennsylvania,,"415,135,462","378,551,914","424,723,887","420,803,005","454,580,537","446,653,521","444,378,476","459,270,894","426,244,565","445,309,577","426,069,262","421,357,954","5,163,079,054"
Rhode Island,,"31,075,447","32,768,603","32,080,000","32,319,358","37,008,364","34,644,986","34,400,523","36,886,502","34,027,132","34,212,384","32,997,332","34,212,384","406,633,015"
South Carolina,,"181,956,108","169,088,555","178,302,735","284,770,351","244,146,535","178,377,163","219,692,132","217,961,241","221,295,732","222,353,789","173,786,092","241,095,242","2,532,825,675"
South Dakota,,"32,620,715","29,809,239","32,445,994","33,070,742","36,795,560","39,961,726","42,837,804","42,128,423","35,345,385","38,764,005","35,754,507","33,595,700","433,129,800"
Tennessee,,"250,276,462","236,432,422","239,603,278","266,776,894","268,391,827","287,640,252","268,948,993","286,344,901","279,751,450","262,366,108","251,517,444","270,811,926","3,168,861,957"
Texas,,"943,249,089","918,787,231","1,039,956,064","988,138,575","1,037,354,697","1,001,540,053","1,025,119,806","1,057,563,434","988,696,201","1,043,707,670","982,455,319","999,874,136","12,026,442,275"
Utah,,"88,469,355","79,676,664","80,899,557","106,195,870","95,900,628","90,941,877","98,158,835","101,943,000","87,145,638","100,378,187","80,198,723","91,190,391","1,101,098,725"
Vermont,,"27,994,710","27,021,575","28,435,975","25,432,417","29,681,094","29,861,206","31,608,677","32,634,167","27,664,246","29,921,377","27,427,827","27,928,401","345,611,672"
Virginia,,"325,673,932","300,048,084","345,936,773","356,769,327","338,878,097","350,077,507","362,371,084","360,058,917","322,731,450","355,262,310","343,802,511","334,097,604","4,095,707,596"
Washington,,"212,526,091","201,719,440","229,481,241","223,249,477","234,243,696","233,696,269","241,622,324","248,978,358","234,143,358","235,102,429","220,371,502","219,768,580","2,734,902,765"
West Virginia,,"63,980,046","39,863,633","89,300,628","66,827,819","41,922,090","103,201,333","73,919,072","41,234,591","102,864,412","73,841,931","26,972,758","110,278,681","834,206,994"
Wisconsin,,"198,531,553","192,240,396","197,836,082","211,428,533","207,096,816","242,487,808","229,710,537","245,260,955","215,511,187","224,711,740","212,576,227","215,188,409","2,592,580,243"
Wyoming,,"26,523,852","25,590,597","25,406,374","31,275,051","31,587,397","26,026,085","33,016,314","36,364,418","35,833,577","35,147,844","28,575,173","29,966,991","365,313,673"
US Total,,"11,324,839,605","10,698,955,239","11,673,962,008","11,716,975,385","12,070,521,128","11,913,007,829","12,163,227,339","12,278,324,974","11,675,284,288","12,002,834,141","11,328,567,200","11,743,543,051","140,590,042,187"
Puerto Rico,,"96,730,087","86,757,087","93,184,158","88,785,675","92,174,452","104,317,848","88,461,044","89,158,208","82,875,772","95,087,621","96,258,394","95,004,049","1,108,794,395"
Grand Total,,"11,421,569,692","10,785,712,326","11,767,146,166","11,805,761,060","12,162,695,580","12,017,325,677","12,251,688,383","12,367,483,182","11,758,160,060","12,097,921,762","11,424,825,594","11,838,547,100","141,698,836,582"
