date,nv total gas sold,nv share of usa gas,average state tax excl. nv,nv excise tax
2000-01-01,69068476.0,0.006939259739346408,0.20057996416418034,0.24
2000-02-01,71140243.0,0.006890464490849772,0.20161459314157745,0.24
2000-03-01,78339679.0,0.007359810471353274,0.20108489766797946,0.24
2000-04-01,76381363.0,0.006875708678655784,0.20121561686745662,0.24
2000-05-01,81224959.0,0.0069740075411159185,0.2019115477669085,0.24
2000-06-01,80369308.0,0.007105333120969421,0.20206504796343147,0.24
2000-07-01,84948014.0,0.007361442559374154,0.20182040575260754,0.24
2000-08-01,84198799.0,0.007212536283810913,0.20216901195705408,0.24
2000-09-01,78098945.0,0.007111559260939641,0.2017956919618269,0.24
2000-10-01,80506198.0,0.007154584767217506,0.20175806575211486,0.24
2000-11-01,76385111.0,0.007031106520626755,0.20226908437458332,0.24
2000-12-01,79013022.0,0.006978043446468411,0.20176075231255775,0.24
2001-01-01,76334556.0,0.007324252688951279,0.19351041909320726,0.24
2001-02-01,70020342.0,0.006859773515457629,0.19403860166850034,0.24
2001-03-01,81239226.0,0.0074416552593022855,0.19364840691860533,0.24
2001-04-01,79949728.0,0.00718055265456574,0.19215006538146076,0.24
2001-05-01,83551075.0,0.007242486164969595,0.19271497341052032,0.24
2001-06-01,83243786.0,0.007111420207239826,0.1925013212232747,0.24
2001-07-01,86682664.0,0.007414386352675879,0.19205102301045504,0.24
2001-08-01,89533096.0,0.007527437250677176,0.19219552028681128,0.24
2001-09-01,78971542.0,0.007193325790245427,0.1917115242268125,0.24
2001-10-01,83751013.0,0.0074237384159964205,0.1917669810666228,0.24
2001-11-01,78364062.0,0.007064284754249187,0.19097425392640546,0.24
2001-12-01,83836245.0,0.007379865773741116,0.19166060175263852,0.24
2002-01-01,79388127.0,0.007358551959359079,0.19190912133281826,0.24
2002-02-01,70020342.0,0.00682822696625598,0.1916214256769158,0.24
2002-03-01,85199838.0,0.007522706891570926,0.19141388353703545,0.24
