state,gasoline sales,date
Alabama,200320720.0,2012-11-01
Alabama,223425936.0,2012-12-01
Alabama,210561472.0,2013-01-01
Alabama,199747808.0,2013-02-01
Alabama,192610656.0,2013-03-01
Alabama,219963184.0,2013-04-01
Alabama,216102704.0,2013-05-01
Alabama,227387584.0,2013-06-01
Alabama,216480880.0,2013-07-01
Alabama,226466656.0,2013-08-01
Alabama,226647440.0,2013-09-01
Alabama,209221232.0,2013-10-01
Alabama,219447952.0,2013-11-01
Alabama,206429456.0,2013-12-01
Alabama,210057936.0,2014-01-01
Alabama,201149424.0,2014-02-01
Alabama,192148384.0,2014-03-01
Alabama,217934400.0,2014-04-01
Alabama,218630832.0,2014-05-01
Alabama,228440720.0,2014-06-01
Alabama,218802000.0,2014-07-01
Alabama,232087376.0,2014-08-01
Alabama,224816384.0,2014-09-01
Alabama,213651456.0,2014-10-01
Alabama,230040192.0,2014-11-01
Alabama,203990560.0,2014-12-01
Alabama,220312560.0,2015-01-01
Alabama,212674960.0,2015-02-01
Alabama,198683904.0,2015-03-01
Alabama,223757568.0,2015-04-01
Alabama,226028976.0,2015-05-01
Alabama,232883488.0,2015-06-01
Alabama,231597760.0,2015-07-01
Alabama,241571200.0,2015-08-01
Alabama,241472064.0,2015-09-01
Alabama,218677600.0,2015-10-01
Alabama,231411600.0,2015-11-01
Alabama,214549440.0,2015-12-01
Alabama,226551632.0,2016-01-01
Alabama,215690288.0,2016-02-01
Alabama,216481456.0,2016-03-01
Alabama,238804896.0,2016-04-01
Alabama,232439456.0,2016-05-01
Alabama,240617248.0,2016-06-01
Alabama,237571040.0,2016-07-01
Alabama,243923936.0,2016-08-01
Alabama,244198144.0,2016-09-01
Alabama,232459920.0,2016-10-01
Alabama,237426464.0,2016-11-01
Alabama,226595440.0,2016-12-01
Alabama,225701392.0,2017-01-01
Alabama,210467744.0,2017-02-01
Alabama,206548800.0,2017-03-01
Alabama,242694480.0,2017-04-01
Alabama,234179952.0,2017-05-01
Alabama,245408912.0,2017-06-01
Alabama,236621328.0,2017-07-01
Alabama,243817616.0,2017-08-01
Alabama,248340624.0,2017-09-01
Alabama,225872240.0,2017-10-01
Alabama,237846496.0,2017-11-01
Alabama,225754976.0,2017-12-01
Alabama,223667760.0,2018-01-01
Alabama,207992720.0,2018-02-01
Alabama,204666528.0,2018-03-01
Alabama,239978736.0,2018-04-01
Alabama,234670112.0,2018-05-01
Alabama,247508752.0,2018-06-01
Alabama,239536576.0,2018-07-01
Alabama,244064416.0,2018-08-01
Alabama,248063872.0,2018-09-01
Alabama,226063360.0,2018-10-01
Alabama,244807056.0,2018-11-01
Alabama,229582080.0,2018-12-01
Alabama,229297680.0,2019-01-01
Alabama,213671824.0,2019-02-01
Alabama,214639232.0,2019-03-01
Alabama,241944240.0,2019-04-01
Alabama,239374720.0,2019-05-01
Alabama,251734160.0,2019-06-01
Alabama,237072912.0,2019-07-01
Alabama,249681856.0,2019-08-01
Alabama,251143280.0,2019-09-01
Alabama,259352192.0,2019-10-01
Alabama,264927616.0,2019-11-01
Alabama,256890720.0,2019-12-01
Alabama,256632119.0,2020-01-01
Alabama,246376600.0,2020-02-01
Alabama,239028200.0,2020-03-01
Alabama,245713022.0,2020-04-01
Alabama,182269767.0,2020-05-01
Alabama,235092691.0,2020-06-01
Alabama,252445393.0,2020-07-01
Alabama,263795056.0,2020-08-01
Alabama,259739903.0,2020-09-01
Alabama,251435997.0,2020-10-01
Alabama,277079418.0,2020-11-01
Alabama,259216451.0,2020-12-01
Alabama,266906778.0,2021-01-01
Alabama,253360201.0,2021-02-01
Alabama,232492120.0,2021-03-01
Alabama,284398124.0,2021-04-01
Alabama,290046514.0,2021-05-01
Alabama,297237092.0,2021-06-01
Alabama,288906169.0,2021-07-01
Alabama,295307359.0,2021-08-01
Alabama,293088290.0,2021-09-01
Alabama,273035716.0,2021-10-01
Alabama,303314918.0,2021-11-01
Alabama,292007312.0,2021-12-01
Alabama,291881887.0,2022-01-01
Alabama,262241665.0,2022-02-01
Alabama,245236327.0,2022-03-01
Alabama,279528709.0,2022-04-01
Alabama,269430708.0,2022-05-01
Alabama,281035150.0,2022-06-01
Alabama,271175096.0,2022-07-01
Alabama,275643263.0,2022-08-01
Alabama,276253475.0,2022-09-01
Alabama,272486255.0,2022-10-01
Alabama,273350230.0,2022-11-01
Alabama,264422830.0,2022-12-01
Alabama,266371155.0,2023-01-01
Alabama,255451798.0,2023-02-01
Alabama,245354659.0,2023-03-01
Alabama,284852309.0,2023-04-01
Alabama,274367609.0,2023-05-01
Alabama,291911372.0,2023-06-01
Alabama,284318151.0,2023-07-01
Alabama,286725709.0,2023-08-01
Alabama,292097246.0,2023-09-01
Alabama,271830001.0,2023-10-01
Alabama,289155930.0,2023-11-01
Alabama,272241323.0,2023-12-01
Alaska,20128352.0,2000-01-01
Alaska,20534026.0,2000-02-01
Alaska,20968226.0,2000-03-01
Alaska,20566888.0,2000-04-01
Alaska,24344796.0,2000-05-01
Alaska,28581725.0,2000-06-01
Alaska,31411303.0,2000-07-01
Alaska,28062702.0,2000-08-01
Alaska,23262381.0,2000-09-01
Alaska,13529963.0,2000-10-01
Alaska,11089554.0,2000-11-01
Alaska,32480938.0,2000-12-01
Alaska,21277831.0,2001-01-01
Alaska,17820418.0,2001-02-01
Alaska,23273691.0,2001-03-01
Alaska,21849592.0,2001-04-01
Alaska,27097637.0,2001-05-01
Alaska,28811560.0,2001-06-01
Alaska,29075565.0,2001-07-01
Alaska,26631123.0,2001-08-01
Alaska,18778040.0,2001-09-01
Alaska,24800137.0,2001-10-01
Alaska,21969871.0,2001-11-01
Alaska,22123140.0,2001-12-01
Alaska,20534759.0,2002-01-01
Alaska,18160481.0,2002-02-01
Alaska,18352423.0,2002-03-01
Alaska,18352423.0,2002-04-01
Alaska,13317659.0,2002-05-01
Alaska,26029154.0,2002-06-01
Alaska,22906829.0,2002-07-01
Alaska,28573304.0,2002-08-01
Alaska,26394214.0,2002-09-01
Alaska,23741503.0,2002-10-01
Alaska,21472096.0,2002-11-01
Alaska,22442902.0,2002-12-01
Alaska,22328362.0,2003-01-01
Alaska,21937520.0,2003-02-01
Alaska,22603496.0,2003-03-01
Alaska,20406719.0,2003-04-01
Alaska,29064505.0,2003-05-01
Alaska,28698689.0,2003-06-01
Alaska,29206049.0,2003-07-01
Alaska,33089940.0,2003-08-01
Alaska,25014394.0,2003-09-01
Alaska,25839309.0,2003-10-01
Alaska,21745077.0,2003-11-01
Alaska,16530457.0,2003-12-01
Alaska,23646787.0,2004-01-01
Alaska,20877270.0,2004-02-01
Alaska,24061554.0,2004-03-01
Alaska,17225214.0,2004-04-01
Alaska,26007168.0,2004-05-01
Alaska,28164276.0,2004-06-01
Alaska,31356143.0,2004-07-01
Alaska,29896449.0,2004-08-01
Alaska,27025462.0,2004-09-01
Alaska,23945858.0,2004-10-01
Alaska,27123091.0,2004-11-01
Alaska,23772332.0,2004-12-01
Alaska,22230175.0,2005-01-01
Alaska,19494156.0,2005-02-01
Alaska,23518421.0,2005-03-01
Alaska,23211879.0,2005-04-01
Alaska,27238585.0,2005-05-01
Alaska,31034356.0,2005-06-01
Alaska,30292105.0,2005-07-01
Alaska,29959362.0,2005-08-01
Alaska,26273523.0,2005-09-01
Alaska,22490536.0,2005-10-01
Alaska,22320106.0,2005-11-01
Alaska,22373720.0,2005-12-01
Alaska,21351592.0,2006-01-01
Alaska,20002301.0,2006-02-01
Alaska,23603706.0,2006-03-01
Alaska,22005917.0,2006-04-01
Alaska,24793627.0,2006-05-01
Alaska,28775425.0,2006-06-01
Alaska,30894675.0,2006-07-01
Alaska,28311202.0,2006-08-01
Alaska,25058720.0,2006-09-01
Alaska,24562109.0,2006-10-01
Alaska,22936869.0,2006-11-01
Alaska,22157716.0,2006-12-01
Alaska,24804753.0,2007-01-01
Alaska,20374353.0,2007-02-01
Alaska,24378693.0,2007-03-01
Alaska,22940167.0,2007-04-01
Alaska,26187751.0,2007-05-01
Alaska,30741526.0,2007-06-01
Alaska,29732677.0,2007-07-01
Alaska,29976166.0,2007-08-01
Alaska,26139655.0,2007-09-01
Alaska,24283342.0,2007-10-01
Alaska,21544041.0,2007-11-01
Alaska,23151069.0,2007-12-01
Alaska,22191107.0,2008-01-01
Alaska,20977518.0,2008-02-01
Alaska,23060063.0,2008-03-01
Alaska,26629411.0,2008-04-01
Alaska,22124168.0,2008-05-01
Alaska,26187520.0,2008-06-01
Alaska,27467392.0,2008-07-01
Alaska,27126846.0,2008-08-01
Alaska,24619608.0,2008-09-01
Alaska,24459204.0,2008-10-01
Alaska,21697289.0,2008-11-01
Alaska,22969807.0,2008-12-01
Alaska,22012404.0,2009-01-01
Alaska,21484176.0,2009-02-01
Alaska,22013466.0,2009-03-01
Alaska,21903980.0,2009-04-01
Alaska,26310816.0,2009-05-01
Alaska,28530435.0,2009-06-01
Alaska,29279470.0,2009-07-01
Alaska,27776911.0,2009-08-01
Alaska,26349518.0,2009-09-01
Alaska,24673209.0,2009-10-01
Alaska,21711274.0,2009-11-01
Alaska,22860745.0,2009-12-01
Alaska,21864868.0,2010-01-01
Alaska,17225898.0,2010-02-01
Alaska,23499590.0,2010-03-01
Alaska,21129843.0,2010-04-01
Alaska,33133113.0,2010-05-01
Alaska,26792069.0,2010-06-01
Alaska,28382390.0,2010-07-01
Alaska,30574435.0,2010-08-01
Alaska,25194131.0,2010-09-01
Alaska,20994828.0,2010-10-01
Alaska,19280323.0,2010-11-01
Alaska,29494173.0,2010-12-01
Alaska,21112792.0,2011-01-01
Alaska,21780924.0,2011-02-01
Alaska,23559391.0,2011-03-01
Alaska,22382777.0,2011-04-01
Alaska,24401143.0,2011-05-01
Alaska,27946260.0,2011-06-01
Alaska,28564099.0,2011-07-01
Alaska,27743613.0,2011-08-01
Alaska,25042377.0,2011-09-01
Alaska,23470704.0,2011-10-01
Alaska,20475400.0,2011-11-01
Alaska,25192347.0,2011-12-01
Alaska,22350342.0,2012-01-01
Alaska,20651802.0,2012-02-01
Alaska,23341174.0,2012-03-01
Alaska,21321764.0,2012-04-01
Alaska,24256160.0,2012-05-01
Alaska,28160760.0,2012-06-01
Alaska,28061964.0,2012-07-01
Alaska,28644530.0,2012-08-01
Alaska,24696440.0,2012-09-01
Alaska,23819576.0,2012-10-01
Alaska,22578844.0,2012-11-01
Alaska,22868728.0,2012-12-01
Alaska,20814622.0,2013-01-01
Alaska,20334148.0,2013-02-01
Alaska,22940800.0,2013-03-01
Alaska,22466572.0,2013-04-01
Alaska,24943500.0,2013-05-01
Alaska,26634276.0,2013-06-01
Alaska,29960352.0,2013-07-01
Alaska,26542740.0,2013-08-01
Alaska,18958476.0,2013-09-01
Alaska,23119526.0,2013-10-01
Alaska,21803032.0,2013-11-01
Alaska,21435124.0,2013-12-01
Alaska,20518234.0,2014-01-01
Alaska,20398556.0,2014-02-01
Alaska,22469652.0,2014-03-01
Alaska,21912964.0,2014-04-01
Alaska,25720584.0,2014-05-01
Alaska,26372270.0,2014-06-01
Alaska,30934436.0,2014-07-01
Alaska,28739058.0,2014-08-01
Alaska,25433182.0,2014-09-01
Alaska,23957034.0,2014-10-01
Alaska,20670188.0,2014-11-01
Alaska,21596734.0,2014-12-01
Alaska,21547348.0,2015-01-01
Alaska,20364604.0,2015-02-01
Alaska,22545552.0,2015-03-01
Alaska,21899890.0,2015-04-01
Alaska,26136468.0,2015-05-01
Alaska,27493256.0,2015-06-01
Alaska,29731720.0,2015-07-01
Alaska,28632254.0,2015-08-01
Alaska,25880688.0,2015-09-01
Alaska,24185840.0,2015-10-01
Alaska,21563868.0,2015-11-01
Alaska,22694480.0,2015-12-01
Alaska,20960608.0,2016-01-01
Alaska,21010820.0,2016-02-01
Alaska,23079072.0,2016-03-01
Alaska,22918000.0,2016-04-01
Alaska,25799020.0,2016-05-01
Alaska,28137612.0,2016-06-01
Alaska,30056052.0,2016-07-01
Alaska,29324902.0,2016-08-01
Alaska,26563942.0,2016-09-01
Alaska,24124276.0,2016-10-01
Alaska,21430448.0,2016-11-01
Alaska,23535286.0,2016-12-01
Alaska,21694768.0,2017-01-01
Alaska,20250268.0,2017-02-01
Alaska,24097476.0,2017-03-01
Alaska,21766092.0,2017-04-01
Alaska,25490788.0,2017-05-01
Alaska,27120424.0,2017-06-01
Alaska,29295132.0,2017-07-01
Alaska,28674868.0,2017-08-01
Alaska,25276196.0,2017-09-01
Alaska,23270222.0,2017-10-01
Alaska,21395668.0,2017-11-01
Alaska,21154036.0,2017-12-01
Alaska,21075492.0,2018-01-01
Alaska,20117172.0,2018-02-01
Alaska,22652716.0,2018-03-01
Alaska,21665262.0,2018-04-01
Alaska,25186544.0,2018-05-01
Alaska,26985616.0,2018-06-01
Alaska,28896052.0,2018-07-01
Alaska,28348986.0,2018-08-01
Alaska,25321816.0,2018-09-01
Alaska,23433124.0,2018-10-01
Alaska,20884388.0,2018-11-01
Alaska,21893714.0,2018-12-01
Alaska,21437388.0,2019-01-01
Alaska,20127504.0,2019-02-01
Alaska,22264912.0,2019-03-01
Alaska,22222120.0,2019-04-01
Alaska,25129188.0,2019-05-01
Alaska,27038816.0,2019-06-01
Alaska,28659648.0,2019-07-01
Alaska,28884932.0,2019-08-01
Alaska,24127130.0,2019-09-01
Alaska,23139380.0,2019-10-01
Alaska,20846954.0,2019-11-01
Alaska,21485192.0,2019-12-01
Alaska,22444384.0,2020-01-01
Alaska,20743852.0,2020-02-01
Alaska,20498223.0,2020-03-01
Alaska,14280621.0,2020-04-01
Alaska,21761000.0,2020-05-01
Alaska,23576098.0,2020-06-01
Alaska,26193156.0,2020-07-01
Alaska,25298162.0,2020-08-01
Alaska,21520347.0,2020-09-01
Alaska,21373194.0,2020-10-01
Alaska,18685999.0,2020-11-01
Alaska,19647432.0,2020-12-01
Alaska,19476753.0,2021-01-01
Alaska,19500096.0,2021-02-01
Alaska,22700692.0,2021-03-01
Alaska,21687463.0,2021-04-01
Alaska,24130003.0,2021-05-01
Alaska,26165848.0,2021-06-01
Alaska,28447694.0,2021-07-01
Alaska,27424064.0,2021-08-01
Alaska,24237053.0,2021-09-01
Alaska,21497955.0,2021-10-01
Alaska,21023716.0,2021-11-01
Alaska,21441959.0,2021-12-01
Alaska,19850142.0,2022-01-01
Alaska,19267488.0,2022-02-01
Alaska,22801621.0,2022-03-01
Alaska,22417495.0,2022-04-01
Alaska,24887279.0,2022-05-01
Alaska,27627518.0,2022-06-01
Alaska,28493539.0,2022-07-01
Alaska,28837527.0,2022-08-01
Alaska,26021544.0,2022-09-01
Alaska,21837170.0,2022-10-01
Alaska,19994964.0,2022-11-01
Alaska,19763248.0,2022-12-01
Alaska,19840237.0,2023-01-01
Alaska,18966401.0,2023-02-01
Alaska,20601435.0,2023-03-01
Alaska,20832891.0,2023-04-01
Alaska,26005996.0,2023-05-01
Alaska,25611653.0,2023-06-01
Alaska,28315810.0,2023-07-01
Alaska,27310591.0,2023-08-01
Alaska,23618200.0,2023-09-01
Alaska,21981079.0,2023-10-01
Alaska,19321788.0,2023-11-01
Alaska,21149268.0,2023-12-01
Arizona,182559282.0,2000-01-01
Arizona,195684808.0,2000-02-01
Arizona,211781420.0,2000-03-01
Arizona,200242297.0,2000-04-01
Arizona,207264007.0,2000-05-01
Arizona,200731355.0,2000-06-01
Arizona,194354880.0,2000-07-01
Arizona,204731988.0,2000-08-01
Arizona,191653756.0,2000-09-01
Arizona,203290098.0,2000-10-01
Arizona,202365721.0,2000-11-01
Arizona,203307356.0,2000-12-01
Arizona,203543999.0,2001-01-01
Arizona,193757647.0,2001-02-01
Arizona,218713081.0,2001-03-01
Arizona,207455170.0,2001-04-01
Arizona,211093454.0,2001-05-01
Arizona,207186669.0,2001-06-01
Arizona,207831870.0,2001-07-01
Arizona,216976679.0,2001-08-01
Arizona,196255970.0,2001-09-01
Arizona,213048604.0,2001-10-01
Arizona,206544284.0,2001-11-01
Arizona,210630344.0,2001-12-01
Arizona,215454723.0,2002-01-01
Arizona,200545848.0,2002-02-01
Arizona,225242905.0,2002-03-01
Arizona,221561131.0,2002-04-01
Arizona,224428798.0,2002-05-01
Arizona,210092491.0,2002-06-01
Arizona,216516313.0,2002-07-01
Arizona,223642364.0,2002-08-01
Arizona,207803631.0,2002-09-01
Arizona,221469642.0,2002-10-01
Arizona,187331287.0,2002-11-01
Arizona,251242413.0,2002-12-01
Arizona,221420065.0,2003-01-01
Arizona,204240027.0,2003-02-01
Arizona,227310352.0,2003-03-01
Arizona,219538355.0,2003-04-01
Arizona,227310010.0,2003-05-01
Arizona,216943072.0,2003-06-01
Arizona,223914918.0,2003-07-01
Arizona,228445231.0,2003-08-01
Arizona,209186059.0,2003-09-01
Arizona,168715921.0,2003-10-01
Arizona,236389799.0,2003-11-01
Arizona,261416683.0,2003-12-01
Arizona,227588931.0,2004-01-01
Arizona,222095612.0,2004-02-01
Arizona,247418669.0,2004-03-01
Arizona,229054422.0,2004-04-01
Arizona,231059898.0,2004-05-01
Arizona,223741035.0,2004-06-01
