area,Reformulated Motor Gasoline Bulk Sales (Volume),Reformulated Motor Gasoline DTW Sales Volume,Reformulated Motor Gasoline Rack Sales Volume,Reformulated Motor Gasoline Retail Sales by Refiners and Gas Plants,Reformulated Motor Gasoline Through Company Outlets Volume by Refiners and Gas Plants,Reformulated Motor Gasoline Wholesale/Resale Volume by Refiners and Gas Plants,Regular Gasoline Bulk Sales (Volume),Regular Gasoline DTW Sales Volume,Regular Gasoline Rack Sales Volume,Regular Gasoline Retail Sales by Refiners and Gas Plants,Regular Gasoline Through Company Outlets Volume by Refiners and Gas Plants,Regular Gasoline Wholesale/Resale Volume by Refiners and Gas Plants,Total Gasoline Bulk Sales (Volume),Total Gasoline DTW Sales Volume,Total Gasoline Rack Sales Volume,Total Gasoline Retail Sales by Refiners and Gas Plants,Total Gasoline Through Company Outlets Volume by Refiners and Gas Plants,Total Gasoline Wholesale/Resale Volume by Refiners and Gas Plants
CALIFORNIA,,23150.5,,8606.9,8246.7,32835.9,2788.9,16686.8,5513.9,6315.9,6018.3,24989.6,3066.1,23150.5,6760.1,8606.9,8246.7,32976.7
U.S.,8260.7,48693.1,36875,23891.4,23232.9,93828.8,29996.1,48467.4,165185.8,46525.2,45234.7,243649.3,33046,69005.4,202463,62301.3,60623.9,304514.4
CALIFORNIA,,22187.5,,8334.3,8038.8,33920.5,3941.6,16439.3,6321,6212.5,5971,26701.8,4198.9,22187.5,7679.3,8334.3,8038.8,34065.7
U.S.,9626.8,47794,38002.3,23759,23162.1,95423.1,34002.9,48698.2,167753.3,47885.5,46557.4,250454.5,37577.6,67778.2,203852.4,62878.9,61200.5,309208.3
CALIFORNIA,,21981.3,,9079.3,8732.8,33706.3,3665,16224.5,6571.7,6781.9,6511.1,26461.3,3992.3,21981.3,7913.7,9079.3,8732.8,33887.4
U.S.,12879,47297.2,39602.5,24819.6,24192.8,99778.7,36677,47988.2,173529.2,49633.4,48331.3,258194.5,40270.2,66903.4,211189.8,65417,63765.6,318363.4
CALIFORNIA,,,,8127.8,7820.1,35095.5,5086.4,15479.2,6950.1,5935.3,5684.9,27515.7,5450.5,21321.1,8524.1,8127.8,7820.1,35295.7
U.S.,14024.9,45333.7,40041.7,23391.3,22823.5,99400.3,39841.6,45654.4,171476.1,46856.1,45573.4,256972,43954,64596.3,211242.8,62534.2,60912.5,319793.1
CALIFORNIA,4375.4,22405.9,8071.9,8623.3,8246.2,34853.3,4316.4,15954.5,6565,6271.2,5955.9,26835.9,4833.4,22405.9,8149,8623.3,8246.2,35388.3
U.S.,11751.9,47514.4,40341.6,24307.2,23650.5,99607.8,39177.7,47897.6,174255.6,48223.4,46792.6,261330.9,43205.3,68131.4,214494.2,64390.5,62581.5,325830.8
CALIFORNIA,,22134.3,,8675.5,8298.8,32861.2,3286,15901.2,5886.1,6423.4,6133.3,25073.2,3555,22134.3,7316.7,8675.5,8298.8,33006
U.S.,9107.7,46547.9,37248.7,23896.1,23280.1,92904.3,34521,46501.8,162047.7,46738.4,45444.3,243070.6,37747.5,65786.1,197970.6,62214.2,60556.9,301504.1
CALIFORNIA,,22130.9,,8237.7,7970.5,33126.9,3473.3,15662.9,5951,6033.2,5830.2,25087.2,3771,22130.9,7455,8237.7,7970.5,33357
U.S.,11030.9,48268.5,37548.6,22362.6,21826.4,96848,32834.2,47083.2,165175.8,45603,44351.4,245093.3,37315.5,67384.4,203549.1,60864.4,59263.7,308249
CALIFORNIA,,22212.5,,8186.5,7972.2,32710.1,2934.7,15558.7,5807.2,5941,5782.6,24300.6,3234.3,22212.5,7395.4,8186.5,7972.2,32842.2
