year,zip,total pop.
2011,90802.0,38669
2011,90832.0,38669
2011,90844.0,38669
2011,90899.0,38669
2011,90803.0,30670
2011,90804.0,40817
2011,90805.0,92627
2011,90806.0,42486
2011,90807.0,31912
2011,90846.0,31912
2011,90808.0,39848
2011,90810.0,37208
2011,90895.0,37208
2011,90813.0,57602
2011,90814.0,18260
2011,90815.0,41278
2011,90840.0,41278
2011,90822.0,47
2011,90831.0,0
2011,90833.0,0
2011,90834.0,0
2011,90835.0,0
2011,91001.0,38113
2011,91003.0,38113
2011,91006.0,32233
2011,91007.0,33241
2011,91066.0,33241
2011,91077.0,33241
2011,91008.0,1271
2011,91009.0,24917
2011,91010.0,24917
2011,91011.0,20308
2011,91012.0,20308
2011,91016.0,41385
2011,91017.0,41385
2011,91020.0,8682
2011,91021.0,8682
2011,91024.0,10881
2011,91025.0,10881
2011,91030.0,25465
2011,91031.0,25465
2011,91040.0,20232
2011,91041.0,27593
2011,91042.0,27593
2011,91043.0,27593
2011,91046.0,123
2011,91101.0,21121
2011,91102.0,21121
2011,91109.0,21121
2011,91110.0,21121
2011,91114.0,21121
2011,91115.0,21121
2011,91116.0,21121
2011,91117.0,21121
2011,91121.0,21121
2011,91123.0,21121
2011,91124.0,21121
2011,91125.0,21121
2011,91126.0,21121
2011,91129.0,21121
2011,91182.0,21121
2011,91184.0,21121
2011,91185.0,21121
2011,91188.0,21121
2011,91189.0,21121
2011,91199.0,21121
2011,91103.0,27330
2011,91104.0,37335
2011,91105.0,10548
2011,91106.0,25096
2011,91023.0,31329
2011,91107.0,31329
2011,91108.0,13281
2011,91118.0,13281
2011,91201.0,23419
2011,91202.0,22414
2011,91203.0,13016
2011,91204.0,15830
2011,91209.0,15830
2011,91221.0,15830
2011,91222.0,15830
2011,91225.0,15830
2011,91226.0,15830
2011,91205.0,38321
2011,91206.0,32674
2011,91207.0,10566
2011,91208.0,15672
2011,91210.0,194
2011,91214.0,31642
2011,91224.0,31642
2011,91301.0,25343
2011,91376.0,25343
2011,91302.0,25802
2011,91303.0,26308
2011,91305.0,26308
2011,91309.0,26308
2011,91304.0,52249
2011,91306.0,47235
2011,91396.0,47235
2011,91307.0,24506
2011,91308.0,24506
2011,91311.0,37504
2011,91313.0,37504
2011,91316.0,26586
2011,91416.0,26586
2011,91426.0,26586
2011,91319.0,45205
2011,91320.0,45205
2011,91321.0,34948
2011,91322.0,34948
2011,91324.0,26853
2011,91327.0,26853
2011,91328.0,26853
2011,91329.0,26853
2011,91325.0,32497
2011,91326.0,34468
2011,91330.0,794
2011,91331.0,97523
2011,91333.0,97523
2011,91334.0,97523
2011,91335.0,75267
2011,91337.0,75267
2011,91340.0,34516
2011,91341.0,34516
2011,91342.0,87707
2011,91392.0,87707
2011,91343.0,59886
2011,91393.0,59886
2011,91344.0,53134
2011,91394.0,53134
2011,91345.0,18629
2011,91346.0,18629
2011,91395.0,18629
2011,91350.0,32449
2011,91351.0,31596
2011,91386.0,31596
2011,91352.0,46561
2011,91353.0,46561
2011,91354.0,28330
2011,91355.0,32104
2011,91380.0,32104
2011,91382.0,32104
2011,91383.0,32104
2011,91385.0,32104
2011,91356.0,29905
2011,91357.0,29905
2011,91360.0,42083
2011,91359.0,20193
2011,91361.0,20193
2011,91358.0,35267
2011,91362.0,35267
2011,91364.0,25087
2011,91365.0,25087
2011,91372.0,25087
2011,91367.0,39503
2011,91371.0,0
2011,91377.0,14045
2011,91381.0,18597
2011,91310.0,29617
2011,91384.0,29617
2011,91387.0,39991
2011,91390.0,19348
2011,91401.0,38600
2011,91402.0,70676
2011,91412.0,70676
2011,91403.0,23551
2011,91413.0,23551
2011,91495.0,23551
2011,91405.0,53395
2011,91406.0,52955
2011,91404.0,23520
2011,91407.0,23520
2011,91408.0,23520
2011,91409.0,23520
2011,91410.0,23520
2011,91411.0,23520
2011,91470.0,23520
2011,91482.0,23520
2011,91496.0,23520
2011,91499.0,23520
2011,91423.0,30268
2011,91436.0,14294
2011,91501.0,20860
2011,91502.0,11134
2011,91503.0,11134
2011,91507.0,11134
2011,91508.0,11134
2011,91510.0,11134
2011,91521.0,11134
2011,91522.0,11134
2011,91523.0,11134
2011,91526.0,11134
2011,91504.0,25370
2011,91505.0,29835
2011,91506.0,19039
2011,91601.0,35830
2011,91603.0,35830
2011,91609.0,35830
2011,91611.0,35830
2011,91612.0,35830
2011,91615.0,35830
2011,91616.0,35830
2011,91618.0,35830
2011,91602.0,17342
2011,91604.0,27107
2011,91614.0,27107
2011,91605.0,54052
2011,91606.0,45897
2011,91607.0,28346
2011,91617.0,28346
2011,91608.0,0
2011,91701.0,40394
2011,91702.0,59967
2011,91706.0,77012
2011,91708.0,3854
2011,91709.0,74765
2011,91710.0,79755
2011,91711.0,35460
2011,91722.0,35400
2011,91723.0,18753
2011,91724.0,24784
2011,91729.0,63925
2011,91730.0,63925
2011,91731.0,29279
2011,91734.0,29279
2011,91735.0,29279
2011,91732.0,62661
2011,91733.0,43459
2011,91737.0,24872
2011,91739.0,34016
2011,91740.0,25235
2011,91741.0,25667
2011,91744.0,83241
2011,91747.0,83241
2011,91749.0,83241
2011,91714.0,55723
2011,91715.0,55723
2011,91716.0,55723
2011,91745.0,55723
2011,91746.0,31680
2011,91748.0,47076
2011,91750.0,33800
2011,91752.0,28618
2011,91754.0,32778
2011,91755.0,27442
2011,91756.0,27442
2011,91759.0,284
2011,91743.0,59903
2011,91761.0,59903
2011,91758.0,55801
2011,91762.0,55801
2011,91763.0,36725
2011,91764.0,53055
2011,91765.0,47017
2011,91766.0,70842
