date,california gas (retail) (nominal),national gas (retail) (nominal)
2017-10-16,3.133,2.605
2017-10-23,3.12,2.594
2017-10-30,3.125,2.602
2017-11-06,3.302,2.673
2017-11-13,3.335,2.706
2017-11-20,3.282,2.683
2017-11-27,3.258,2.648
2017-12-04,3.218,2.617
2017-12-11,3.177,2.601
2017-12-18,3.163,2.568
2017-12-25,3.191,2.589
2018-01-01,3.206,2.637
2018-01-08,3.258,2.639
2018-01-15,3.256,2.673
2018-01-22,3.268,2.684
2018-01-29,3.355,2.723
2018-02-05,3.428,2.753
2018-02-12,3.416,2.724
2018-02-19,3.408,2.676
2018-02-26,3.418,2.666
2018-03-05,3.414,2.679
2018-03-12,3.451,2.677
2018-03-19,3.492,2.716
2018-03-26,3.547,2.764
2018-04-02,3.6,2.817
2018-04-09,3.58,2.811
2018-04-16,3.611,2.863
2018-04-23,3.626,2.914
2018-04-30,3.667,2.961
2018-05-07,3.69,2.96
2018-05-14,3.672,2.949
2018-05-21,3.689,2.999
2018-05-28,3.708,3.039
2018-06-04,3.704,3.018
2018-06-11,3.688,2.989
2018-06-18,3.664,2.958
2018-06-25,3.634,2.913
2018-07-02,3.622,2.924
2018-07-09,3.626,2.937
2018-07-16,3.609,2.943
2018-07-23,3.588,2.911
2018-07-30,3.579,2.924
2018-08-06,3.576,2.93
2018-08-13,3.563,2.921
2018-08-20,3.538,2.9
2018-08-27,3.546,2.906
2018-09-03,3.572,2.903
2018-09-10,3.585,2.912
2018-09-17,3.594,2.921
2018-09-24,3.601,2.923
2018-10-01,3.699,2.947
2018-10-08,3.781,2.984
2018-10-15,3.783,2.961
2018-10-22,3.783,2.925
2018-10-29,3.754,2.896
2018-11-05,3.716,2.84
2018-11-12,3.656,2.773
2018-11-19,3.599,2.7
2018-11-26,3.555,2.63
2018-12-03,3.473,2.544
2018-12-10,3.394,2.511
2018-12-17,3.345,2.46
2018-12-24,3.332,2.413
2018-12-31,3.296,2.358
2019-01-07,3.261,2.329
2019-01-14,3.237,2.338
2019-01-21,3.224,2.34
2019-01-28,3.206,2.343
2019-02-04,3.208,2.341
2019-02-11,3.235,2.361
2019-02-18,3.241,2.4
2019-02-25,3.259,2.471
2019-03-04,3.271,2.502
2019-03-11,3.297,2.549
2019-03-18,3.338,2.625
2019-03-25,3.463,2.701
2019-04-01,3.602,2.77
2019-04-08,3.792,2.826
2019-04-15,3.996,2.912
2019-04-22,4.021,2.926
2019-04-29,4.058,2.972
2019-05-06,4.08,2.983
2019-05-13,4.041,2.954
2019-05-20,4.006,2.939
2019-05-27,3.949,2.909
2019-06-03,3.898,2.893
2019-06-10,3.816,2.821
2019-06-17,3.749,2.759
2019-06-24,3.683,2.741
2019-07-01,3.695,2.798
2019-07-08,3.701,2.827
2019-07-15,3.679,2.86
2019-07-22,3.642,2.833
2019-07-29,3.625,2.798
2019-08-05,3.612,2.772
2019-08-12,3.56,2.71
2019-08-19,3.535,2.684
2019-08-26,3.514,2.661
2019-09-02,3.569,2.651
2019-09-09,3.57,2.638
2019-09-16,3.571,2.64
2019-09-23,3.689,2.741
2019-09-30,4.034,2.737
2019-10-07,4.169,2.742
2019-10-14,4.166,2.727
2019-10-21,4.106,2.735
2019-10-28,4.021,2.692
2019-11-04,4.035,2.702
2019-11-11,3.999,2.711
2019-11-18,3.918,2.688
2019-11-25,3.825,2.672
2019-12-02,3.75,2.667
2019-12-09,3.657,2.652
2019-12-16,3.588,2.627
2019-12-23,3.536,2.621
2019-12-30,3.517,2.658
2020-01-06,3.505,2.665
2020-01-13,3.497,2.657
2020-01-20,3.487,2.625
2020-01-27,3.467,2.595
2020-02-03,3.455,2.546
2020-02-10,3.449,2.511
2020-02-17,3.441,2.518
2020-02-24,3.443,2.555
2020-03-02,3.435,2.514
2020-03-09,3.403,2.468
2020-03-16,3.298,2.343
2020-03-23,3.142,2.217
2020-03-30,3.031,2.103
2020-04-06,2.953,2.022
2020-04-13,2.834,1.951
2020-04-20,2.785,1.91
2020-04-27,2.737,1.87
2020-05-04,2.721,1.883
2020-05-11,2.737,1.941
2020-05-18,2.775,1.969
2020-05-25,2.85,2.049
2020-06-01,2.882,2.064
2020-06-08,2.937,2.123
2020-06-15,2.976,2.185
2020-06-22,3.022,2.216
2020-06-29,3.044,2.26
2020-07-06,3.063,2.265
2020-07-13,3.101,2.283
2020-07-20,3.11,2.275
2020-07-27,3.132,2.265
2020-08-03,3.137,2.266
2020-08-10,3.135,2.256
2020-08-17,3.15,2.256
2020-08-24,3.175,2.272
2020-08-31,3.184,2.311
2020-09-07,3.188,2.302
2020-09-14,3.185,2.274
2020-09-21,3.169,2.259
2020-09-28,3.155,2.259
2020-10-05,3.145,2.262
2020-10-12,3.135,2.257
2020-10-19,3.132,2.24
2020-10-26,3.134,2.234
2020-11-02,3.118,2.204
2020-11-09,3.114,2.188
2020-11-16,3.114,2.202
2020-11-23,3.112,2.194
2020-11-30,3.118,2.211
2020-12-07,3.127,2.246
2020-12-14,3.126,2.247
2020-12-21,3.148,2.311
2020-12-28,3.172,2.33
2021-01-04,3.186,2.336
2021-01-11,3.233,2.403
2021-01-18,3.298,2.464
2021-01-25,3.329,2.478
2021-02-01,3.358,2.495
2021-02-08,3.403,2.548
2021-02-15,3.434,2.588
2021-02-22,3.54,2.717
2021-03-01,3.652,2.796
2021-03-08,3.725,2.857
2021-03-15,3.819,2.94
2021-03-22,3.848,2.954
2021-03-29,3.859,2.941
2021-04-05,3.876,2.945
2021-04-12,3.894,2.939
2021-04-19,3.924,2.945
2021-04-26,3.948,2.962
2021-05-03,3.993,2.981
2021-05-10,4.039,3.051
2021-05-17,4.068,3.118
2021-05-24,4.1,3.112
2021-05-31,4.142,3.119
2021-06-07,4.163,3.128
2021-06-14,4.172,3.161
2021-06-21,4.174,3.153
2021-06-28,4.217,3.185
2021-07-05,4.231,3.216
2021-07-12,4.253,3.227
2021-07-19,4.265,3.247
2021-07-26,4.262,3.232
2021-08-02,4.302,3.256
2021-08-09,4.321,3.269
2021-08-16,4.344,3.272
2021-08-23,4.316,3.243
2021-08-30,4.314,3.237
2021-09-06,4.315,3.273
2021-09-13,4.312,3.262
2021-09-20,4.305,3.28
2021-09-27,4.306,3.271
2021-10-04,4.33,3.285
2021-10-11,4.356,3.36
2021-10-18,4.429,3.416
2021-10-25,4.483,3.476
2021-11-01,4.529,3.484
2021-11-08,4.561,3.505
2021-11-15,4.619,3.495
2021-11-22,4.64,3.493
2021-11-29,4.642,3.478
2021-12-06,4.617,3.44
2021-12-13,4.602,3.414
2021-12-20,4.592,3.395
2021-12-27,4.575,3.375
2022-01-03,4.59,3.381
2022-01-10,4.592,3.394
2022-01-17,4.586,3.404
2022-01-24,4.574,3.421
2022-01-31,4.576,3.464
2022-02-07,4.598,3.538
2022-02-14,4.617,3.581
2022-02-21,4.662,3.624
2022-02-28,4.762,3.701
2022-03-07,5.283,4.196
2022-03-14,5.68,4.414
2022-03-21,5.802,4.343
2022-03-28,5.856,4.334
2022-04-04,5.804,4.274
2022-04-11,5.715,4.196
2022-04-18,5.641,4.17
2022-04-25,5.609,4.211
2022-05-02,5.629,4.285
2022-05-09,5.748,4.428
2022-05-16,5.891,4.591
2022-05-23,5.998,4.694
2022-05-30,6.087,4.727
2022-06-06,6.276,4.977
2022-06-13,6.364,5.107
2022-06-20,6.307,5.066
2022-06-27,6.23,4.979
2022-07-04,6.138,4.879
2022-07-11,5.994,4.754
2022-07-18,5.794,4.599
2022-07-25,5.661,4.44
2022-08-01,5.56,4.304
2022-08-08,5.391,4.151
2022-08-15,5.315,4.051
2022-08-22,5.242,3.993
2022-08-29,5.156,3.938
2022-09-05,5.154,3.859
2022-09-12,5.283,3.805
2022-09-19,5.34,3.771
2022-09-26,5.721,3.832
2022-10-03,6.315,3.909
2022-10-10,6.251,4.034
2022-10-17,5.94,3.99
2022-10-24,5.604,3.887
2022-10-31,5.416,3.857
2022-11-07,5.333,3.909
2022-11-14,5.312,3.876
2022-11-21,5.138,3.763
2022-11-28,4.909,3.649
2022-12-05,4.66,3.504
2022-12-12,4.452,3.353
2022-12-19,4.297,3.234
2022-12-26,4.263,3.203
2023-01-02,4.324,3.331
2023-01-09,4.331,3.366
2023-01-16,4.347,3.416
2023-01-23,4.375,3.519
2023-01-30,4.462,3.594
2023-02-06,4.514,3.552
2023-02-13,4.535,3.502
2023-02-20,4.626,3.494
2023-02-27,4.687,3.457
2023-03-06,4.811,3.505
2023-03-13,4.834,3.568
2023-03-20,4.763,3.534
2023-03-27,4.736,3.533
2023-04-03,4.728,3.606
2023-04-10,4.785,3.703
2023-04-17,4.829,3.769
2023-04-24,4.807,3.765
2023-05-01,4.772,3.711
2023-05-08,4.741,3.644
2023-05-15,4.717,3.647
2023-05-22,4.713,3.645
2023-05-29,4.756,3.684
2023-06-05,4.759,3.655
2023-06-12,4.82,3.707
2023-06-19,4.793,3.69
2023-06-26,4.75,3.685
2023-07-03,4.754,3.643
2023-07-10,4.787,3.663
2023-07-17,4.828,3.676
2023-07-24,4.813,3.711
2023-07-31,4.935,3.869
2023-08-07,5.007,3.94
2023-08-14,5.089,3.962
2023-08-21,5.208,3.984
2023-08-28,5.217,3.931
2023-09-04,5.252,3.925
2023-09-11,5.359,3.941
2023-09-18,5.661,4.001
2023-09-25,5.806,3.963
2023-10-02,6.01,3.93
2023-10-09,5.706,3.814
2023-10-16,5.504,3.706
2023-10-23,5.333,3.66
2023-10-30,5.178,3.6
2023-11-06,5.057,3.52
2023-11-13,4.981,3.473
2023-11-20,4.88,3.414
2023-11-27,4.82,3.363
2023-12-04,4.708,3.355
2023-12-11,4.568,3.259
2023-12-18,4.468,3.176
2023-12-25,4.489,3.238
2024-01-01,4.595,3.213
2024-01-08,4.572,3.197
2024-01-15,4.45,3.179
2024-01-22,4.385,3.181
2024-01-29,4.408,3.214
2024-02-05,4.477,3.254
2024-02-12,4.534,3.309
2024-02-19,4.577,3.385
2024-02-26,4.552,3.365
2024-03-04,4.764,3.466
2024-03-11,4.802,3.492
2024-03-18,4.845,3.569
2024-03-25,4.914,3.639
2024-04-01,5.017,3.636
2024-04-08,5.257,3.712
2024-04-15,5.379,3.751
2024-04-22,5.343,3.791
2024-04-29,5.281,3.777
2024-05-06,5.23,3.766
2024-05-13,5.157,3.731
2024-05-20,5.078,3.706
2024-05-27,5.006,3.698
2024-06-03,4.92,3.638
2024-06-10,4.792,3.551
2024-06-17,4.714,3.556
2024-06-24,4.682,3.557
2024-07-01,4.651,3.595
