Date_ca,retail (nominal)_ca,date,Date_sf,retail (nominal)_sf,diff
12/9/24,4.261,12/9/24,12/9/24,4.316,0.055
12/16/24,4.216,12/16/24,12/16/24,4.26,0.044
12/23/24,4.217,12/23/24,12/23/24,4.262,0.045
12/30/24,4.228,12/30/24,12/30/24,4.293,0.065
1/6/25,4.276,1/6/25,1/6/25,4.324,0.048
1/13/25,4.282,1/13/25,1/13/25,4.345,0.063
1/20/25,4.337,1/20/25,1/20/25,4.389,0.052
1/27/25,4.345,1/27/25,1/27/25,4.429,0.084
2/3/25,4.377,2/3/25,2/3/25,4.44,0.063
2/10/25,4.522,2/10/25,2/10/25,4.651,0.129
