date,ca total gas sold,ca share of usa gas,average state tax excl. ca,ca state gas tax,ca state gas sales tax rate
2006-07-01,1344224077.0,0.11100906430227768,0.20581205483689266,0.18,0.0625
2006-08-01,1375242067.0,0.11270537042338274,0.20792338558307547,0.18,0.0625
2006-09-01,1307982657.0,0.11086268818972912,0.20574003101742347,0.18,0.0625
2006-10-01,1346688133.0,0.1133240049007198,0.20687228330675103,0.18,0.0625
2006-11-01,1283213985.0,0.11164255134695796,0.20642412881409603,0.18,0.0625
2006-12-01,1335269306.0,0.1107759796465105,0.2059562998740311,0.18,0.0625
2007-01-01,1298005123.0,0.11461576218941955,0.20667871633629406,0.18,0.0625
2007-02-01,1202285136.0,0.11237406916307223,0.2060739858957381,0.18,0.0625
2007-03-01,1356411115.0,0.11619115378913096,0.20718099418634967,0.18,0.0625
2007-04-01,1289099402.0,0.11001980968999023,0.20607483676408048,0.18,0.0625
2007-05-01,1350251459.0,0.11186355954987066,0.20668749144262782,0.18,0.0625
2007-06-01,1314070919.0,0.11030555321227431,0.20794630776193576,0.18,0.0625
2007-07-01,1331802064.0,0.1094941356337005,0.20800542221168672,0.18,0.0625
2007-08-01,1375098435.0,0.11199397620700245,0.20815905570854615,0.18,0.0625
2007-09-01,1274137497.0,0.1091311753590081,0.20767985689680576,0.18,0.0625
2007-10-01,1319293307.0,0.10991514933073006,0.207724563868981,0.18,0.0625
2007-11-01,1234600552.0,0.1089811738946122,0.2073403486937596,0.18,0.0625
2007-12-01,1352739224.0,0.11519004257278301,0.2074221654646151,0.18,0.0625
2008-01-01,1235578651.0,0.11099371650920364,0.21146102320109939,0.18,0.0625
2008-02-01,1284905800.0,0.1189888310145595,0.2066652381030797,0.18,0.0625
2008-03-01,1310504889.0,0.11483899398611017,0.20721249170437042,0.18,0.0625
2008-04-01,1260562575.0,0.1106047851224504,0.2070816920830983,0.18,0.0625
2008-05-01,1285866470.0,0.1100295496796868,0.20788169305790816,0.18,0.0625
2008-06-01,1216217239.0,0.10507957381980222,0.2096951919474156,0.18,0.0625
2008-07-01,1257480310.0,0.10680446311212,0.21440459730024305,0.18,0.0625
2008-08-01,1259535970.0,0.10821788510715417,0.21062637584586072,0.18,0.0625
2008-09-01,1218721221.0,0.11100419810685563,0.20973055480865602,0.18,0.0625
2008-10-01,1257964590.0,0.1112052769133902,0.2107488605911731,0.18,0.0625
2008-11-01,1198156884.0,0.10474459170559279,0.20840770271198109,0.18,0.0625
2008-12-01,1266434318.0,0.11037040539861623,0.20935930311852058,0.18,0.0625
2009-01-01,1213834344.0,0.11029205122884084,0.20974109564747362,0.18,0.0725
2009-02-01,1124211028.0,0.10806969290142678,0.20973177867770973,0.18,0.0725
2009-03-01,1284419269.0,0.11277928179375929,0.20979082532492893,0.18,0.0725
