"",STATE,JANUARY 2/,FEBRUARY 2/,MARCH 2/,APRIL 2/,MAY 2/,JUNE 2/,JULY 2/,AUGUST 2/,SEPTEMBER 2/,OCTOBER 2/,NOVEMBER 2/,DECEMBER 2/,TOTAL
Oklahoma,,"99,179,589","176,909,392","103,581,669","161,623,264","205,574,420","156,270,535","162,088,198","164,230,284","151,099,071","157,143,127","150,794,268","136,288,628","1,824,782,445"
Oregon,,"74,699,209","148,754,906","121,407,736","121,948,034","125,860,133","128,838,873","135,882,154","139,555,782","127,425,315","125,505,554","118,445,443","121,200,300","1,489,523,439"
Pennsylvania,,"395,141,345","368,162,602","419,018,302","415,619,517","438,509,141","443,304,733","454,967,812","451,166,884","425,058,871","437,304,143","420,592,362","433,280,480","5,102,126,192"
Rhode Island,,"30,069,511","29,008,874","32,187,013","30,525,380","31,863,201","32,228,251","33,625,411","34,766,792","29,941,760","30,385,248","29,857,871","31,656,349","376,115,661"
South Carolina,,"191,447,128","195,472,625","220,582,446","219,694,579","225,530,916","225,374,736","230,114,324","231,429,399","182,043,372","217,839,994","176,005,996","280,089,508","2,595,625,023"
South Dakota,,"33,241,685","47,716,671","25,100,619","27,233,221","43,227,300","26,039,389","35,361,776","46,067,463","51,059,926","41,307,002","29,434,665","43,409,358","449,199,075"
Tennessee,,"261,827,527","212,873,747","271,561,104","267,794,927","298,372,876","271,512,252","273,325,591","272,502,043","258,509,076","263,457,791","269,417,729","272,623,050","3,193,777,713"
Texas,,"980,973,511","905,748,121","1,066,830,628","1,034,277,942","1,045,047,393","1,028,469,230","1,031,161,706","1,057,951,436","1,013,441,435","1,041,519,754","1,011,665,730","1,040,854,301","12,257,941,187"
Utah,,"89,187,303","82,082,970","92,871,337","85,441,290","89,529,559","97,389,371","94,669,012","98,467,598","90,081,036","91,230,575","87,993,794","91,317,901","1,090,261,746"
Vermont,,"26,796,675","25,419,090","21,611,459","24,367,882","27,094,464","28,109,221","30,073,119","31,143,225","27,327,836","27,843,512","26,100,838","26,867,243","322,754,564"
Virginia,,"290,848,722","261,209,625","331,901,464","289,244,787","277,901,856","518,762,074","295,821,562","263,272,863","415,211,279","280,088,339","394,852,619","207,021,276","3,826,136,466"
Washington,,"214,449,331","203,831,047","224,050,146","223,903,240","226,593,899","229,250,565","238,028,479","246,478,709","225,881,301","227,671,929","215,969,255","221,424,387","2,697,532,288"
West Virginia,,"60,167,070","58,781,573","29,400,877","106,562,447","70,631,320","37,200,531","106,061,307","76,894,900","71,323,839","69,501,859","33,971,902","103,632,457","824,130,082"
Wisconsin,,"194,280,458","185,377,279","199,084,922","195,378,879","224,942,709","215,685,695","233,089,373","228,933,685","209,450,305","232,303,326","193,503,378","200,610,407","2,512,640,416"
Wyoming,,"27,879,708","26,150,277","16,940,883","27,557,576","28,420,618","17,719,850","28,588,803","35,276,516","42,523,020","28,883,332","36,364,644","26,258,581","342,563,808"
US Total,,"10,752,802,204","10,287,619,215","11,308,073,863","11,033,812,621","11,594,968,076","11,708,386,318","11,728,457,553","11,844,015,149","11,319,384,462","11,295,758,130","11,142,657,420","11,321,257,026","135,337,192,037"
Puerto Rico,,"88,116,040","83,750,917","78,777,966","77,011,566","100,982,185","98,294,259","70,360,413","92,040,307","101,113,036","71,978,987","78,958,534","82,922,637","1,024,306,847"
Grand Total,,"10,840,918,244","10,371,370,132","11,386,851,829","11,110,824,187","11,695,950,261","11,806,680,577","11,798,817,966","11,936,055,456","11,420,497,498","11,367,737,117","11,221,615,954","11,404,179,663","136,361,498,884"
