"",STATE,JANUARY 2/,FEBRUARY 2/,MARCH 2/,APRIL 2/,MAY 2/,JUNE 2/,JULY 2/,AUGUST 2/,SEPTEMBER 2/,OCTOBER 2/,NOVEMBER 2/,DECEMBER 2/,TOTAL
Alabama,,"219,187,783","204,033,862","201,596,676","227,375,010","225,507,450","231,485,712","226,279,134","234,695,229","231,660,749","217,688,188","223,317,457","211,246,870","2,654,074,120"
Alaska,,"21,864,868","17,225,898","23,499,590","21,129,843","33,133,113","26,792,069","28,382,390","30,574,435","25,194,131","20,994,828","19,280,323","29,494,173","297,565,661"
Arizona,,"215,893,349","209,092,189","235,732,900","234,306,795","225,938,602","210,985,469","220,603,192","224,736,184","211,458,832","221,023,306","218,681,548","223,683,670","2,652,136,036"
Arkansas,,"105,526,933","107,398,719","115,939,414","127,149,122","127,246,178","130,286,037","133,759,028","128,120,132","122,402,708","124,121,793","119,879,032","125,278,925","1,467,108,021"
California,,"1,173,485,982","1,134,211,818","1,274,076,761","1,257,774,730","1,292,535,094","1,255,963,488","1,274,417,448","1,291,164,966","1,237,725,377","1,263,452,498","1,201,345,304","1,234,272,144","14,890,425,610"
Colorado,,"168,496,790","157,224,098","175,217,843","171,093,893","183,708,193","184,598,131","198,150,549","196,175,787","183,435,482","180,480,196","168,990,813","176,627,981","2,144,199,756"
Connecticut,,"119,417,253","109,313,343","124,366,769","124,549,371","132,812,176","129,606,224","134,879,449","130,328,001","125,097,789","130,473,564","124,071,272","129,706,355","1,514,621,566"
Delaware,,"35,237,985","29,556,577","36,826,745","39,189,740","39,435,669","38,991,812","42,062,112","43,173,395","30,548,793","46,534,200","35,520,944","37,467,097","454,545,069"
District of Columbia,,"9,315,587","8,360,230","10,527,283","9,613,017","10,063,003","9,243,178","13,034,070","10,803,688","12,853,959","10,237,649","10,231,856","9,951,262","124,234,782"
Florida,,"677,834,305","682,702,757","648,227,243","731,333,692","714,015,850","709,003,176","691,171,518","692,182,409","682,775,321","657,972,351","693,032,733","665,946,888","8,246,198,243"
Georgia,,"385,158,279","366,198,579","421,139,762","418,207,987","427,444,486","412,338,104","425,880,210","414,190,256","399,126,357","414,354,018","390,544,529","410,005,928","4,884,588,495"
Hawaii,,"34,792,830","33,648,775","33,169,561","32,986,263","19,651,906","40,188,868","39,442,537","46,243,305","30,720,733","37,653,182","36,451,074","35,322,029","420,271,063"
Idaho,,"51,414,112","54,998,470","47,985,228","49,790,428","55,371,672","56,073,241","64,098,237","61,001,368","69,048,494","63,608,277","61,560,099","58,935,394","693,885,020"
Illinois,,"320,187,684","434,500,618","386,827,282","411,363,142","416,422,013","412,868,610","492,077,472","420,102,631","393,697,343","413,741,043","393,684,794","432,763,987","4,928,236,619"
Indiana,,"239,172,436","225,000,380","257,351,539","262,676,567","274,227,868","270,787,941","273,319,868","284,161,494","260,743,550","265,559,627","255,580,721","262,456,141","3,131,038,132"
Iowa,,"123,628,147","120,354,647","136,551,466","140,874,429","147,098,348","147,030,578","155,554,100","154,621,960","147,397,409","150,369,211","143,133,389","145,601,196","1,712,214,880"
Kansas,,"102,179,217","97,114,062","110,645,539","111,830,158","115,869,410","117,515,505","119,251,979","117,299,246","111,898,036","112,297,078","109,272,817","114,207,562","1,339,380,609"
Kentucky,,"168,255,106","157,543,462","187,470,966","188,656,555","193,543,098","193,384,063","200,240,997","198,068,719","185,088,166","186,864,139","180,617,560","181,561,055","2,221,293,886"
Louisiana,,"180,609,333","173,668,457","200,344,951","162,034,284","200,474,380","197,145,833","203,382,769","202,147,229","197,016,943","198,396,407","187,810,201","199,646,001","2,302,676,788"
Maine,,"55,183,463","53,267,871","51,288,507","52,510,063","51,585,802","61,564,779","58,390,920","69,217,346","68,885,637","58,216,805","59,436,152","55,316,839","694,864,184"
Maryland,,"221,593,174","190,945,324","230,674,835","240,816,758","239,254,965","219,156,673","247,822,408","227,392,190","219,400,360","243,298,628","221,297,990","221,621,820","2,723,275,125"
Massachusetts,,"219,249,332","204,536,428","229,205,914","225,222,683","243,218,843","235,329,872","251,176,638","245,098,475","229,500,576","239,575,838","233,542,248","239,490,992","2,795,147,839"
Michigan,,"331,090,448","348,550,305","357,708,751","357,840,984","418,346,195","403,181,539","392,245,682","420,480,839","384,804,754","386,323,837","354,126,566","395,065,352","4,549,765,252"
Minnesota,,"200,480,685","190,424,972","203,969,948","203,093,711","224,649,539","224,054,073","236,679,648","235,151,079","215,343,646","220,114,146","208,499,087","221,142,843","2,583,603,377"
Mississippi,,"126,539,363","118,556,237","149,161,340","141,915,694","148,407,856","143,646,541","144,827,562","135,026,558","134,154,342","136,596,354","132,734,541","141,930,336","1,653,496,724"
Missouri,,"240,793,916","230,256,303","267,459,958","275,087,891","279,335,685","280,755,797","289,838,172","286,627,880","265,418,324","273,201,732","262,062,046","270,529,144","3,221,366,848"
Montana,,"33,381,102","33,573,498","39,057,470","38,526,213","41,056,552","46,467,495","53,524,402","51,099,802","43,970,207","42,476,434","39,204,227","38,397,910","500,735,312"
Nebraska,,"61,534,727","60,585,213","68,250,419","70,132,689","72,457,086","76,936,250","80,091,737","76,749,245","73,756,124","71,070,825","71,251,286","75,099,953","857,915,554"
Nevada,,"85,214,738","80,855,962","91,816,852","91,070,259","93,755,104","94,202,332","98,702,114","99,527,398","91,762,696","92,511,348","87,009,314","89,029,399","1,095,457,516"
New Hampshire,,"56,570,803","53,611,625","57,851,679","56,448,006","61,309,692","60,679,319","65,975,594","65,951,415","58,826,787","61,687,249","58,250,443","61,085,602","718,248,214"
New Jersey,,"336,046,743","263,180,086","380,416,543","347,627,686","366,837,868","367,642,705","380,376,343","365,009,000","348,001,724","343,571,990","340,723,714","351,213,781","4,190,648,183"
New Mexico,,"71,914,432","65,866,699","67,513,821","81,697,980","80,327,579","83,459,991","86,389,498","81,195,858","81,430,314","85,854,635","75,726,924","62,615,578","923,993,309"
New York,,"479,889,561","427,243,790","432,579,674","439,787,471","502,513,670","479,309,183","540,750,129","509,739,344","481,206,078","531,902,594","474,182,307","482,726,756","5,781,830,557"
North Carolina,,"352,196,771","328,231,846","376,538,819","375,418,513","390,196,422","388,853,954","395,695,824","408,115,371","362,992,696","383,102,431","365,452,732","376,419,042","4,503,214,421"
North Dakota,,"27,282,013","26,850,226","29,353,717","33,869,611","32,412,448","34,318,378","36,567,027","37,089,466","32,480,776","33,997,123","34,484,909","31,060,262","389,765,956"
Ohio,,"392,104,432","359,553,420","416,297,627","420,029,418","446,348,849","438,610,196","456,994,165","453,916,914","422,201,517","430,177,646","409,188,738","427,620,407","5,073,043,329"
Oklahoma,,"119,851,840","192,833,871","158,309,749","160,328,926","164,227,473","166,206,570","110,806,661","217,484,276","158,229,564","106,858,591","209,751,068","161,181,410","1,926,069,999"
Oregon,,"73,495,733","152,688,071","126,287,973","124,858,313","132,348,970","133,523,325","145,224,959","138,151,678","133,194,611","129,838,384","116,584,599","129,596,191","1,535,792,807"
Pennsylvania,,"397,072,863","352,679,079","421,076,383","431,505,178","447,290,502","447,630,131","463,078,178","452,898,856","425,003,051","444,389,330","422,735,061","441,414,221","5,146,772,833"
Rhode Island,,"31,988,103","28,708,972","31,364,891","32,635,551","34,128,067","31,954,584","33,847,661","33,654,587","30,177,364","30,451,629","30,157,411","34,128,508","383,197,328"
South Carolina,,"215,386,178","162,850,549","250,249,500","225,065,879","229,093,714","226,358,147","238,465,500","232,469,721","214,473,186","220,823,777","211,343,882","218,503,386","2,645,083,419"
South Dakota,,"30,310,606","30,770,993","36,391,856","28,495,310","31,725,465","36,728,572","34,420,978","52,493,121","38,665,047","47,084,682","46,461,380","31,109,170","444,657,180"
Tennessee,,"267,560,635","212,189,722","254,250,889","262,577,009","311,537,208","266,323,925","289,259,101","293,008,884","260,129,544","287,167,114","253,743,477","256,415,673","3,214,163,181"
Texas,,"963,712,763","925,556,636","1,051,646,700","1,019,821,772","1,075,676,963","1,044,883,266","1,049,746,583","1,074,952,965","1,014,603,564","1,050,196,431","1,004,911,414","1,042,164,843","12,317,873,900"
Utah,,"81,944,869","78,733,505","89,193,586","86,494,625","78,204,769","94,602,875","98,337,219","49,605,922","95,200,890","112,974,079","85,675,415","100,138,977","1,051,106,731"
Vermont,,"26,364,508","24,579,037","26,318,973","25,391,707","27,808,423","28,196,549","31,274,473","31,138,795","28,110,693","28,438,696","26,196,516","28,153,178","331,971,548"
Virginia,,"315,621,503","310,455,408","341,758,181","275,682,383","264,871,312","553,595,941","298,686,402","397,647,714","266,798,673","367,227,607","314,199,545","337,979,194","4,044,523,863"
Washington,,"201,674,289","200,247,105","231,137,930","225,037,338","232,133,260","232,089,505","247,512,106","244,605,590","222,701,830","236,602,170","212,910,722","219,788,207","2,706,440,052"
West Virginia,,"51,157,335","84,733,735","66,108,289","33,395,433","112,559,411","12,389,055","139,465,055","75,002,032","16,677,670","105,266,860","46,842,102","114,391,602","857,988,579"
Wisconsin,,"194,034,292","188,276,487","203,678,958","195,321,081","225,717,094","225,482,997","240,409,252","231,643,769","219,357,252","217,372,186","222,025,990","220,528,662","2,583,848,020"
Wyoming,,"24,618,367","18,634,902","9,864,722","24,740,045","35,919,999","31,924,160","41,079,465","31,160,393","37,473,730","39,772,839","32,855,652","31,143,113","359,187,387"
US Total,,"10,637,517,566","10,322,174,818","11,374,281,972","11,324,381,206","11,929,755,294","11,944,346,718","12,213,648,515","12,203,096,917","11,332,823,399","11,773,965,545","11,236,573,924","11,591,177,009","137,883,742,883"
Puerto Rico,,"94,229,637","73,801,834","88,150,219","97,791,005","89,272,704","92,673,371","92,681,620","76,307,357","98,405,486","93,787,690","80,983,112","85,223,676","1,063,307,711"
Grand Total,,"10,731,747,203","10,395,976,652","11,462,432,191","11,422,172,211","12,019,027,998","12,037,020,089","12,306,330,135","12,279,404,274","11,431,228,885","11,867,753,235","11,317,557,036","11,676,400,685","138,947,050,594"
