"",STATE,JANUARY 2/,FEBRUARY 2/,MARCH 2/,APRIL 2/,MAY 2/,JUNE 2/,JULY 2/,AUGUST 2/,SEPTEMBER 2/,OCTOBER 2/,NOVEMBER 2/,DECEMBER 2/,TOTAL
Texas,,"968,217,922","929,077,953","1,031,883,020","1,006,129,003","1,040,517,155","1,032,741,658","1,041,187,412","1,038,636,309","978,171,218","1,009,886,124","976,163,880","973,351,337","12,025,962,991"
Utah,,"86,375,021","77,932,285","88,607,184","87,360,981","93,008,127","91,372,951","97,850,867","97,501,013","90,283,932","91,000,694","82,822,228","89,544,232","1,073,659,515"
Vermont,,"28,312,134","25,518,922","26,460,597","25,338,776","27,942,193","28,630,295","30,509,854","31,246,646","28,423,037","28,862,710","25,207,691","28,117,786","334,570,641"
Virginia,,"314,481,513","297,534,741","356,534,737","305,499,721","344,852,976","342,506,205","363,808,791","338,365,545","321,461,156","301,877,363","362,166,208","287,937,918","3,937,026,874"
Washington,,"218,769,684","199,478,727","226,037,157","222,272,480","235,548,877","228,569,519","248,289,086","238,330,726","224,477,025","229,240,176","212,941,150","224,363,601","2,708,318,208"
West Virginia,,"62,149,802","89,467,439","68,067,334","37,517,768","103,753,838","71,819,338","73,687,050","71,642,553","38,050,729","98,795,916","66,573,370","52,649,502","834,174,639"
Wisconsin,,"199,888,608","181,777,284","201,045,799","197,845,233","221,440,819","218,992,405","227,621,341","222,302,040","217,921,711","210,461,364","199,184,330","218,872,530","2,517,353,464"
Wyoming,,"22,516,346","32,909,788","34,296,421","24,210,275","23,295,221","35,090,812","30,691,223","37,903,133","27,431,568","36,189,063","37,691,179","26,445,838","368,670,867"
US Total,,"11,005,637,582","10,402,648,493","11,388,787,449","11,366,816,578","11,909,992,047","11,679,679,712","12,043,792,661","11,856,420,726","11,341,512,563","11,555,813,709","11,158,879,986","11,272,890,642","136,982,872,148"
Puerto Rico,,"92,710,892","88,311,133","96,757,537","88,792,809","91,532,891","84,034,860","102,163,099","77,018,770","88,147,228","92,933,030","86,206,048","102,850,739","1,091,459,036"
Grand Total,,"11,098,348,474","10,490,959,626","11,485,544,986","11,455,609,387","12,001,524,938","11,763,714,572","12,145,955,760","11,933,439,496","11,429,659,791","11,648,746,739","11,245,086,034","11,375,741,381","138,074,331,184"
