"",STATE,JANUARY 2/,FEBRUARY 2/,MARCH 2/,APRIL 2/,MAY 2/,JUNE 2/,JULY 2/,AUGUST 2/,SEPTEMBER 2/,OCTOBER 2/,NOVEMBER 2/,DECEMBER 2/,TOTAL
Alabama,,"217,370,845","209,839,700","198,461,216","219,891,909","220,539,739","221,649,983","228,018,468","232,639,918","222,234,729","212,404,923","216,550,061","206,892,685","2,606,494,176"
Alaska,,"22,012,404","21,484,176","22,013,466","21,903,980","26,310,816","28,530,435","29,279,470","27,776,911","26,349,518","24,673,209","21,711,274","22,860,745","294,906,404"
Arizona,,"230,586,797","200,561,955","235,615,839","226,182,311","230,168,419","206,250,779","219,116,089","220,925,011","212,955,402","222,316,686","213,794,027","223,046,788","2,641,520,103"
Arkansas,,"112,251,679","116,511,049","122,370,261","123,006,829","124,697,499","128,180,232","129,665,482","127,761,245","121,328,068","122,622,288","120,365,609","115,123,836","1,463,884,077"
California,,"1,213,834,344","1,124,211,028","1,284,419,269","1,249,330,377","1,292,957,551","1,236,186,504","1,284,485,838","1,269,698,932","1,220,604,592","1,246,329,075","1,172,295,602","1,237,153,006","14,831,506,118"
Colorado,,"168,989,006","156,540,588","172,683,082","165,087,419","180,507,571","179,077,365","194,620,576","190,673,154","178,673,140","175,485,358","163,359,368","174,052,216","2,099,748,843"
Connecticut,,"122,214,308","113,123,607","124,870,922","124,536,762","131,073,317","127,498,781","132,310,018","128,063,626","125,446,362","130,092,631","122,279,026","130,571,668","1,512,081,028"
Delaware,,"35,167,084","32,836,088","36,576,291","37,397,780","39,054,029","38,349,889","40,884,596","41,830,052","37,191,822","37,001,613","35,408,861","36,631,545","448,329,650"
District of Columbia,,"9,276,650","11,264,715","9,704,722","8,605,458","10,351,278","10,805,757","10,928,421","9,398,185","10,349,341","10,220,155","10,298,683","9,116,250","120,319,615"
Florida,,"697,512,793","696,912,202","664,658,564","745,302,910","709,720,078","701,916,631","687,016,198","701,486,590","690,142,408","672,365,229","699,065,862","663,488,360","8,329,587,825"
Georgia,,"397,658,229","377,325,768","414,679,751","418,340,695","419,972,762","414,654,028","420,920,395","414,616,211","385,520,848","413,599,955","394,599,516","413,973,330","4,885,861,488"
Hawaii,,"46,326,101","27,054,896","39,270,719","35,106,770","40,880,985","23,438,240","46,446,492","39,109,875","43,174,228","34,741,989","39,492,330","36,766,148","451,808,773"
Idaho,,"50,277,352","48,992,968","50,455,630","43,778,372","50,676,623","52,136,907","55,950,447","61,047,946","67,539,307","63,825,602","58,926,193","60,044,305","663,651,652"
Illinois,,"378,306,834","367,002,135","406,281,673","449,876,635","411,058,078","432,355,953","419,789,391","390,074,697","372,243,714","454,390,097","398,275,891","420,088,922","4,899,744,020"
Indiana,,"238,953,303","229,932,052","252,649,951","255,510,307","268,455,324","268,290,980","271,345,487","272,404,001","259,556,216","260,243,507","246,311,733","261,474,177","3,085,127,038"
Iowa,,"128,016,958","118,640,172","128,324,460","136,388,983","144,600,274","143,905,022","148,899,026","146,721,248","138,116,355","143,555,764","134,690,501","137,882,972","1,649,741,735"
Kansas,,"105,354,323","98,410,272","112,742,766","109,939,837","115,820,943","115,758,628","116,462,972","112,709,308","109,257,573","111,693,613","106,692,663","113,867,672","1,328,710,570"
Kentucky,,"171,410,486","167,740,306","185,045,592","188,119,705","191,200,349","191,379,740","194,135,238","192,670,048","182,981,972","185,345,492","177,605,537","187,978,850","2,215,613,315"
Louisiana,,"188,568,600","181,870,709","188,366,883","193,145,352","193,241,034","195,716,876","199,755,210","195,514,318","187,876,863","191,786,624","183,732,018","192,170,750","2,291,745,237"
Maine,,"54,804,081","51,814,836","48,475,359","50,488,744","49,980,400","55,918,415","54,841,794","65,346,346","70,403,701","61,658,192","56,843,252","57,571,134","678,146,254"
Maryland,,"230,947,489","238,466,567","264,434,986","267,188,017","276,793,469","247,890,257","238,769,961","244,851,143","232,198,240","289,394,902","293,210,469","215,287,450","3,039,432,950"
Massachusetts,,"225,266,269","207,557,990","224,134,774","225,111,527","240,205,470","231,861,687","238,927,768","246,683,661","232,897,345","237,179,325","222,489,967","233,427,413","2,765,743,196"
Michigan,,"364,046,843","346,988,098","359,079,351","378,593,037","393,265,817","397,263,849","402,877,592","401,226,145","390,022,328","394,565,593","359,272,936","374,600,533","4,561,802,122"
Minnesota,,"209,297,120","192,812,999","200,645,723","200,774,758","222,580,831","227,485,553","228,079,011","223,262,516","213,711,473","209,609,391","205,211,193","219,000,238","2,552,470,806"
Mississippi,,"126,470,594","131,795,265","146,932,979","131,497,315","141,865,519","133,150,566","136,719,655","127,783,529","121,174,545","126,577,055","124,693,446","127,996,502","1,576,656,970"
Missouri,,"245,604,840","231,823,114","262,844,252","266,976,266","281,841,200","281,358,957","288,295,831","278,509,866","265,687,727","269,764,124","257,621,724","271,274,415","3,201,602,316"
Montana,,"37,310,305","33,210,538","36,780,346","37,552,710","43,279,594","45,132,803","51,552,969","49,095,848","43,449,888","41,759,834","37,702,433","39,668,656","496,495,924"
Nebraska,,"64,404,850","60,075,143","66,013,612","61,621,981","73,336,136","74,754,917","80,521,835","72,134,972","72,655,799","69,531,157","66,917,830","67,844,570","829,812,802"
Nevada,,"89,970,956","82,283,551","94,010,270","92,529,893","96,207,833","92,539,852","99,342,279","97,410,758","93,128,975","93,219,486","85,545,969","90,469,876","1,106,659,698"
New Hampshire,,"58,800,078","54,623,651","57,687,439","56,648,890","60,785,331","60,466,837","64,513,743","65,504,379","60,399,090","61,194,395","55,261,391","61,232,361","717,117,585"
New Jersey,,"337,689,495","305,458,457","320,155,495","363,615,505","364,152,876","365,495,495","366,399,581","391,025,810","345,044,895","349,493,362","325,134,990","360,281,019","4,193,946,980"
New Mexico,,"93,315,437","74,045,032","80,010,583","77,819,352","81,452,758","78,709,012","85,733,932","82,734,988","79,441,202","85,099,642","73,282,266","78,920,890","970,565,094"
New York,,"488,033,059","398,486,077","445,782,781","438,903,230","518,464,725","460,336,328","520,756,620","496,653,503","486,295,067","458,857,109","455,148,171","476,847,419","5,644,564,089"
North Carolina,,"345,697,026","336,995,919","363,713,999","374,020,462","382,068,401","384,570,055","390,963,159","388,821,598","367,300,863","373,048,112","367,158,711","362,456,459","4,436,814,764"
North Dakota,,"28,513,504","26,468,275","27,405,745","28,478,442","32,727,420","33,143,121","35,473,734","32,638,710","32,673,842","32,231,728","30,562,802","33,755,106","374,072,429"
Ohio,,"389,154,746","374,124,258","413,460,665","415,923,255","437,134,605","434,741,428","437,733,262","439,939,709","424,199,890","425,396,383","403,926,332","425,274,906","5,021,009,439"
Oklahoma,,"137,312,616","147,626,888","155,827,266","159,373,273","150,831,036","170,722,479","165,110,446","163,843,893","154,049,566","142,844,366","165,308,295","129,552,443","1,842,402,567"
Oregon,,"93,740,181","140,715,873","124,298,165","119,188,151","141,302,207","132,410,370","143,638,402","141,237,763","129,074,495","109,083,601","139,434,677","126,676,616","1,540,800,501"
Pennsylvania,,"400,740,873","371,777,559","411,968,840","422,155,778","439,423,054","425,872,353","439,838,197","443,294,808","427,154,753","449,730,898","410,908,110","439,250,386","5,082,115,609"
Rhode Island,,"34,824,754","30,098,811","32,275,529","31,385,445","35,486,066","33,151,362","35,272,908","35,505,818","30,664,922","32,964,490","28,381,944","35,763,857","395,775,906"
South Carolina,,"200,792,157","178,271,383","253,481,940","231,280,463","232,690,450","193,209,894","286,069,255","239,827,210","228,231,374","230,785,234","217,351,769","230,444,544","2,722,435,673"
South Dakota,,"38,757,453","27,766,034","44,403,306","27,634,687","25,887,742","84,512,292","12,670,458","21,327,526","46,421,756","41,723,721","50,606,177","27,234,088","448,945,240"
Tennessee,,"275,343,730","225,410,650","272,840,738","250,428,769","296,583,232","269,175,917","296,014,831","256,710,986","277,467,993","251,094,389","248,700,341","243,592,792","3,163,364,368"
