date,wa total gas sold,wa share of usa gas,average state tax excl. wa,wa excise tax
2000-01-01,204517317.0,0.020547706653571546,0.20024384118788646,0.23
2000-02-01,207474042.0,0.02009541236981822,0.20130239624297924,0.23
2000-03-01,222265696.0,0.02088128797213253,0.20076075229418278,0.23
2000-04-01,216526517.0,0.01949131559875423,0.20091538966811176,0.23
2000-05-01,234198638.0,0.020108388943983056,0.2016062238250982,0.23
2000-06-01,237539460.0,0.02100051667329512,0.20174113772623065,0.23
2000-07-01,224774439.0,0.01947854980475529,0.20155185709025505,0.23
2000-08-01,253092452.0,0.021680101318412772,0.2018354426382658,0.23
2000-09-01,230734018.0,0.021010253627903857,0.20146791788060284,0.23
2000-10-01,184521955.0,0.01639846373642181,0.20156538694125062,0.23
2000-11-01,259231262.0,0.02386175254230504,0.20186297575157358,0.23
2000-12-01,219832749.0,0.01941455262245994,0.20147694133112573,0.23
2001-01-01,208983110.0,0.02005179810521071,0.19311123445205422,0.23
2001-02-01,192851622.0,0.01889334457990288,0.193667442931341,0.23
2001-03-01,226603364.0,0.020757264667762714,0.193230096884255,0.23
2001-04-01,223407290.0,0.02006495643435883,0.19172568182986824,0.23
2001-05-01,235551805.0,0.020418416984414812,0.1922874030309251,0.23
2001-06-01,233744060.0,0.01996848427348413,0.19208193806389257,0.23
2001-07-01,202917116.0,0.017356479671584022,0.19174723151253328,0.23
2001-08-01,296171145.0,0.024900397831084845,0.19159916955297876,0.23
2001-09-01,216518080.0,0.019722105577201752,0.19129554562956164,0.23
2001-10-01,231018035.0,0.02047757274550823,0.1913332491794375,0.23
2001-11-01,216862810.0,0.019549530784234208,0.19054934394189266,0.23
2001-12-01,225977616.0,0.019892165661164963,0.1912464479458681,0.23
2002-01-01,214786114.0,0.019908704736387374,0.1914964446474468,0.23
2002-02-01,201769016.0,0.019676062650567094,0.19118810019045765,0.23
2002-03-01,225183490.0,0.019882542406841112,0.19100404389931896,0.23
2002-04-01,224434293.0,0.019483195489121016,0.190901732432662,0.23
2002-05-01,240822601.0,0.01971566291590205,0.19261396757892546,0.23
2002-06-01,237448396.0,0.020295303297194228,0.19166591521728193,0.23
2002-07-01,248250970.0,0.020482119693055093,0.19263535964941902,0.23
2002-08-01,252379351.0,0.020647346228416432,0.19189258840435203,0.23
2002-09-01,229955876.0,0.01994209185126132,0.19082184422946957,0.23
2002-10-01,236818121.0,0.020287666419373483,0.19174855157443307,0.23
2002-11-01,221653963.0,0.019420562559854505,0.190981115809742,0.23
2002-12-01,226338245.0,0.019693847318551734,0.19139128370839967,0.23
2003-01-01,218848024.0,0.019660696746482187,0.1889836480961006,0.23
2003-02-01,206267297.0,0.02021190799092731,0.18836541341206237,0.23
2003-03-01,219783380.0,0.01950355794937327,0.18875532115449561,0.23
