date,cfp_cost
2025-03-01,0.003125412497909388
2025-02-01,0.003603679200486006
2025-01-01,0.0031749367698389657
2024-12-01,0.004776366147411855
2024-11-01,0.005447582034336052
2024-10-01,0.0035208526472416683
2024-09-01,0.0021088352780918294
2024-08-01,0.006938848484537201
2024-07-01,0.0036867562629699663
2024-06-01,0.005170580671490881
2024-05-01,0.00408741895335463
2024-04-01,0.008521867232742135
2024-03-01,0.0071065752187030274
2024-02-01,0.00958594229979174
2024-01-01,0.008639122456734795
2023-12-01,0.010016161792910025
2023-11-01,0.009436620604881887
2023-10-01,0.010449701804560388
2023-09-01,0.010305591459249055
2023-08-01,0.00997109549144799
2023-07-01,0.010014019041942946
2023-06-01,0.009453635051524047
2023-05-01,0.009514042009814134
2023-04-01,0.00883808316673251
2023-03-01,0.00862874340036428
2023-02-01,0.008693085514947886
2023-01-01,0.008493273723066864
2022-12-01,0.008568941809436141
2022-11-01,0.008552567201328996
2022-10-01,0.00838923274802658
2022-09-01,0.008330366909042717
2022-08-01,0.008047099121983054
2022-07-01,0.008526437914024713
2022-06-01,0.008418835528046313
2022-05-01,0.008874793642701068
2022-04-01,0.008918765740459954
2022-03-01,0.009009817766085771
2022-02-01,0.009069582764119755
2022-01-01,0.00899219002675064
2021-12-01,0.009046462387592
2021-11-01,0.009038545954756833
2021-10-01,0.009050211277145196
2021-09-01,0.009152251914855853
2021-08-01,0.009083280840950583
2021-07-01,0.009076715895916446
2021-06-01,0.009188662131016287
2021-05-01,0.009067222051595124
2021-04-01,0.009143421888841066
2021-03-01,0.00910892206696357
2021-02-01,0.009129572230619163
2021-01-01,0.009040651724819508
2020-12-01,0.009131581302682457
2020-11-01,0.008877671611336027
2020-10-01,0.009218888672069794
2020-09-01,0.009294903300267904
2020-08-01,0.009448266188445159
2020-07-01,0.010182722839834455
2020-06-01,0.008830313747230645
2020-05-01,0.00807686231921355
2020-04-01,0.008949833415823368
2020-03-01,0.01062648594956002
2020-02-01,0.010945817255805847
2020-01-01,0.011517431226652735
2019-12-01,0.01171898269521528
2019-11-01,0.01143187731389307
2019-10-01,0.011693042526118061
2019-09-01,0.011997039500562483
2019-08-01,0.011724872264151793
2019-07-01,0.011340720717760674
2019-06-01,0.011541115882778062
2019-05-01,0.011299548535080053
2019-04-01,0.009435545381133819
2019-03-01,0.01056050455155245
2019-02-01,0.009629291264943479
2019-01-01,0.009230333150838873
2018-12-01,0.007429951872134106
2018-11-01,0.007338819532212929
2018-10-01,0.006069010188582209
2018-09-01,0.00665197851356318
2018-08-01,0.0066458037674973535
2018-07-01,0.006227844088888885
2018-06-01,0.0050583793472560035
2018-05-01,0.004631945115179469
2018-04-01,0.004153992666234215
2018-03-01,0.004076333368730878
2018-02-01,0.0042400540276844485
2018-01-01,0.0034403404483306812
2017-12-01,0.0036733783517680354
2017-11-01,0.003272357652198145
2017-10-01,0.0037424523401380443
2017-09-01,0.003194593599999998
2017-08-01,0.003194593599999998
2017-07-01,0.0
2017-06-01,0.003267197999999998
2017-05-01,0.003630219999999998
2017-04-01,0.003514185570776254
2017-03-01,0.0
2017-02-01,0.0
2017-01-01,0.0
2016-12-01,0.003630219999999998
2016-11-01,0.004356263999999998
2016-10-01,0.0
2016-09-01,0.0
2016-08-01,0.0
2016-07-01,0.0
2016-06-01,0.0
2016-05-01,0.0
2016-04-01,0.0
2016-03-01,0.0
2016-02-01,0.0
2016-01-01,0.0
