date,or total gas sold,or share of usa gas,average state tax excl. or,or excise tax
2002-11-01,128185278.0,0.011231155883512634,0.19119069963015575,0.24
2002-12-01,125540139.0,0.010923334365412976,0.1916232019313801,0.24
2003-01-01,118874503.0,0.01067935415478911,0.18924198730886152,0.24
2003-02-01,120370706.0,0.011794994504024367,0.18860067306672962,0.24
2003-03-01,121069278.0,0.010743677157762258,0.1890119398816501,0.24
2003-04-01,121049314.0,0.010617842612843932,0.1887285007449485,0.24
2003-05-01,140009612.0,0.011632465788432403,0.19007001879959268,0.24
2003-06-01,139065264.0,0.011664234714202604,0.18998280977438764,0.24
2003-07-01,140254538.0,0.011407085451099043,0.1935506155635061,0.24
2003-08-01,149340759.0,0.012100239524757972,0.19250666268492053,0.24
2003-09-01,129947119.0,0.01119092524086399,0.19158045656189962,0.24
2003-10-01,108812025.0,0.00938116112520943,0.1928193667325738,0.24
2003-11-01,150871982.0,0.012951279098566866,0.19195539987440635,0.24
2003-12-01,122777631.0,0.01034739549261609,0.19244568530304232,0.24
2004-01-01,97072149.0,0.00861955271910518,0.1935895115198752,0.24
2004-02-01,131038304.0,0.01190696442789027,0.19361535793375342,0.24
2004-03-01,131685936.0,0.011262384648606533,0.19449673302581563,0.24
2004-04-01,127418936.0,0.010711099254836397,0.19368963621475513,0.24
2004-05-01,137946094.0,0.0113084181768684,0.1952785440996567,0.24
2004-06-01,135912285.0,0.011459184182793557,0.19472975723213462,0.24
2004-07-01,142301559.0,0.01166320768717154,0.1971163620113946,0.24
2004-08-01,145009435.0,0.011866211115714372,0.19658158930293199,0.24
2004-09-01,128138968.0,0.010724393380124337,0.1950296447888882,0.24
2004-10-01,132663467.0,0.011327464989625469,0.1963716544245608,0.24
2004-11-01,124513669.0,0.010833365705662363,0.19565843310854622,0.24
2004-12-01,129040186.0,0.010594008392943603,0.19569602603619266,0.24
2005-01-01,84462788.0,0.007678574987889439,0.19734266916808063,0.24
2005-01-31,,,,0.24
2005-02-01,153848105.0,0.014241350502310478,0.19660504545554933,0.24
2005-03-01,124529014.0,0.010565086598813165,0.19747449392531344,0.24
2005-04-01,123144854.0,0.010614552701282769,0.19709470419876896,0.24
2005-05-01,128023605.0,0.010506455256513126,0.1977683586539746,0.24
2005-06-01,139399151.0,0.011509155609813183,0.19796839338147143,0.24
2005-07-01,146893077.0,0.011874443358981955,0.20378750621068473,0.24
2005-08-01,146431670.0,0.011662859431499119,0.20100093440181643,0.24
2005-09-01,135548119.0,0.011832751664435405,0.20015826225962188,0.24
2005-10-01,132476488.0,0.011446632352933967,0.20042892336155368,0.24
2005-11-01,127701506.0,0.011268541997871877,0.19978314813035725,0.24
2005-12-01,130422359.0,0.010922441701756441,0.20038544472101893,0.24
2006-01-01,92308945.0,0.008350569697351781,0.20802125999223103,0.24
2006-02-01,145295495.0,0.013474870643080604,0.20134836419845614,0.24
2006-03-01,129659635.0,0.011043320065295712,0.2014485085454134,0.24
2006-04-01,131323958.0,0.011316645645296674,0.20321077830380918,0.24
2006-05-01,124300017.0,0.010374998216197504,0.2022406430507483,0.24
2006-06-01,143997082.0,0.01226705556937723,0.20283523336242784,0.24
2006-07-01,143776428.0,0.011873382581142233,0.20250144812912843,0.24
2006-08-01,145024779.0,0.011885232301990236,0.20435259234653486,0.24
2006-09-01,133858394.0,0.011345640797437506,0.20246051244320568,0.24
2006-10-01,128595024.0,0.010821290225169141,0.20343128789475165,0.24
2006-11-01,131603887.0,0.01144983914109754,0.2030510116835197,0.24
2006-12-01,128002148.0,0.01061925356768264,0.2026847047452233,0.24
2007-01-01,97581006.0,0.008616546406265857,0.20330472841870365,0.24
2007-02-01,140277547.0,0.01311133132781583,0.20265429407730992,0.24
2007-03-01,121295912.0,0.01039029524996549,0.20364506459808268,0.24
2007-04-01,133071045.0,0.011357115691337608,0.20278341512554307,0.24
2007-05-01,132382704.0,0.010967438985953284,0.20329962452562192,0.24
2007-06-01,133843096.0,0.01123503802911838,0.20446443135894635,0.24
2007-07-01,138072747.0,0.01135165389512087,0.204549313702874,0.24
2007-08-01,149279076.0,0.012157934923216832,0.2045747127565697,0.24
2007-09-01,135643236.0,0.011617981425892624,0.20424370561587465,0.24
2007-10-01,132675040.0,0.011053642701501694,0.20428240475519968,0.24
2007-11-01,125628298.0,0.011089513420549776,0.20396111166254577,0.24
2007-12-01,128134850.0,0.010911089561602869,0.20386917842719302,0.24
2008-01-01,119789367.0,0.010760842323436158,0.20776195395402797,0.24
2008-02-01,118791661.0,0.011000713730662463,0.20308629549648796,0.24
2008-03-01,125553681.0,0.011002216426903383,0.20368792320538037,0.24
2008-04-01,124489190.0,0.010922980249527002,0.20368971077746242,0.24
2008-05-01,132756755.0,0.011359784480255177,0.2044095834650396,0.24
2008-06-01,128648585.0,0.011115068962051278,0.20619913488636887,0.24
2008-07-01,137147250.0,0.011648642358108731,0.21053494703248524,0.24
2008-08-01,137968886.0,0.011854128352928303,0.20691991869359339,0.24
2008-09-01,127708448.0,0.011632007072199057,0.20603526032069416,0.24
2008-10-01,100235454.0,0.008860910320702577,0.2070373459125593,0.24
2008-11-01,149031492.0,0.013028546586237632,0.20497583553170143,0.24
2008-12-01,109211796.0,0.009517864469960592,0.20579333048671236,0.24
2009-01-01,93740181.0,0.008517469369817742,0.20617276677990276,0.24
2009-02-01,140715873.0,0.01352692759874454,0.20605956467528921,0.24
2009-03-01,124298165.0,0.010914082430339332,0.20606062025254174,0.24
